FILE NAME;004_22306_010116_000000.CSV
HASHCODE;ED0E93BFC2FBC1258DE779EF27062DC64DC419ED9D1C1B7042A7720D3B9E3DBB
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;01/01/2016;00:00:00;GMT+00:00
END OF MEASUREMENT;01/01/2016;00:00:00;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   24280;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;       0;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;   15820;[mS]
PEAK ACC; 15,30;[m/s/s]
TIME OF PEAK ACC;   17750;[mS]
PEAK PITCH;   0,00;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  0,51;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,49;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,76;[m/s/s]
AVERAGE PITCH RATE AT START;   0,29;[deg/s]
AVERAGE LONG ACCEL AT END;  0,54;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,78;[m/s/s]
AVERAGE PITCH RATE AT END;   0,31;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,4;0,56;-0,40;9,67;-0,71;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,53;0,00;0,00;190,44;0,00;0,00
10;12,4;0,82;-0,45;9,62;-1,31;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,35;0,00;0,00;190,44;0,00;0,00
20;12,4;0,76;-0,61;9,56;0,19;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,49;0,00;0,00;190,44;0,00;0,00
30;12,4;0,27;-0,55;9,67;1,67;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,84;0,00;0,00;190,44;0,00;0,00
40;12,4;0,24;-0,33;9,73;1,49;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,93;0,00;0,00;190,44;0,00;0,00
50;12,4;0,58;-0,41;9,79;0,42;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,74;0,00;0,00;190,44;0,00;0,00
60;12,4;0,57;-0,57;9,85;0,82;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,68;0,00;0,00;190,44;0,00;0,00
70;12,4;0,45;-0,41;9,92;1,25;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,77;0,00;0,00;190,44;0,00;0,00
80;12,4;0,73;-0,46;9,87;-0,47;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,73;0,00;0,00;190,44;0,00;0,00
90;12,4;0,80;-0,62;9,71;-1,23;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,72;0,00;0,00;190,44;0,00;0,00
100;12,4;0,24;-0,56;9,71;-0,66;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,81;0,00;0,00;190,44;0,00;0,00
110;12,4;0,22;-0,37;9,62;0,24;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;2,85;0,00;0,00;190,44;0,00;0,00
