FILE NAME;006_22306_041120_125725.CSV
HASHCODE;E664B4AF619C0FB9418046C350391353073ACF0D5C938535D535A8D8FE6B0C22
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;04/11/2020;12:57:25;GMT+00:00
END OF MEASUREMENT;04/11/2020;13:00:01;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;  155340;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8660;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  150260;[mS]
PEAK GPS SPEED; 46,30;[kph]
TIME OF PEAK GPS SPEED;  148250;[mS]
PEAK SPEED; 46,51;[kph]
TIME OF PEAK SPEED;  148090;[mS]
TIME ACC WENT OVER 1m/s/s;   12580;[mS]
PEAK ACC; 12,40;[m/s/s]
TIME OF PEAK ACC;  149030;[mS]
PEAK PITCH;   3,21;[deg]
TIME OF PEAK PITCH;   29780;[mS]
PEAK SLIP; 178,61;[deg]
TIME OF PEAK SLIP;   44860;[mS]
AVERAGE LONG ACCEL AT START; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,54;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,29;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,19;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,05;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,5;-0,14;0,54;9,82;0,01;0,07;0;0;0;327,3;4,4989572;51,9427338;309,85;86,30;-4,53;1;7;0,6;1,5;0,05;0,88;-0,55;0,03;0,03;0,00;0,08
10;12,5;-0,17;0,54;9,83;-0,18;0,07;0;0;0;327,3;4,4989572;51,9427338;309,85;86,30;-4,53;1;7;0,6;1,5;0,55;3,14;-0,55;0,03;0,03;0,00;0,08
20;12,5;-0,13;0,54;9,81;-0,28;0,07;0;0;0;327,3;4,4989572;51,9427338;309,85;86,30;-4,53;1;7;0,6;1,5;0,55;3,14;-0,55;-0,00;0,02;0,00;0,08
30;12,5;-0,15;0,55;9,80;-0,33;0,07;0;0;0;327,3;4,4989572;51,9427338;309,85;86,30;-4,53;1;7;0,6;1,5;0,55;3,14;-0,55;0,04;0,03;0,00;0,08
40;12,5;-0,18;0,54;9,83;-0,20;0,07;0;0;0;327,3;4,4989572;51,9427338;309,85;86,30;-4,53;1;7;0,6;1,5;0,55;3,16;-0,56;0,02;0,02;0,00;0,08
50;12,5;-0,13;0,54;9,81;-0,05;0,04;0;0;0;327,3;4,4989567;51,9427338;309,82;86,30;-4,53;1;7;0,6;1,5;0,55;3,15;-0,56;-0,01;0,02;0,00;0,08
60;12,5;-0,15;0,55;9,84;-0,15;0,04;0;0;0;327,3;4,4989567;51,9427338;309,82;86,30;-4,53;1;7;0,6;1,5;0,55;3,15;-0,56;0,04;0,02;0,00;0,08
70;12,5;-0,14;0,55;9,83;0,08;0,04;0;0;0;327,3;4,4989567;51,9427338;309,82;86,30;-4,53;1;7;0,6;1,5;0,55;3,16;-0,56;0,02;0,02;0,00;0,08
80;12,5;-0,12;0,54;9,80;0,38;0,04;0;0;0;327,3;4,4989567;51,9427338;309,82;86,30;-4,53;1;7;0,6;1,5;0,56;3,16;-0,56;0,03;0,02;0,00;0,08
90;12,5;-0,14;0,55;9,84;0,02;0,04;0;0;0;327,3;4,4989567;51,9427338;309,82;86,30;-4,53;1;7;0,6;1,5;0,56;3,16;-0,56;0,05;0,03;0,00;0,09
100;12,5;-0,14;0,54;9,80;-0,09;0,04;0;0;0;327,3;4,4989567;51,9427338;309,82;86,30;-4,53;1;7;0,6;1,5;0,56;3,17;-0,56;0,03;0,03;0,00;0,09
