FILE NAME;001_22306_131120_090328.CSV
HASHCODE;E388C287E12979AD62FAC77AE1DF2E828B8D171063F63D3C44C4A2E1956448DC
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;09:03:28;GMT+00:00
END OF MEASUREMENT;13/11/2020;09:03:52;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   24200;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8340;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   18760;[mS]
PEAK GPS SPEED; 44,68;[kph]
TIME OF PEAK GPS SPEED;   16560;[mS]
PEAK SPEED; 44,52;[kph]
TIME OF PEAK SPEED;   15760;[mS]
TIME ACC WENT OVER 1m/s/s;   13810;[mS]
PEAK ACC; 11,44;[m/s/s]
TIME OF PEAK ACC;   17950;[mS]
PEAK PITCH;   3,98;[deg]
TIME OF PEAK PITCH;   18370;[mS]
PEAK SLIP; 118,57;[deg]
TIME OF PEAK SLIP;    9970;[mS]
AVERAGE LONG ACCEL AT START; -0,11;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,16;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,10;[deg/s]
AVERAGE LONG ACCEL AT END; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,47;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,22;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,3;-0,16;0,11;9,80;0,22;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;0,01;1,50;-1,33;-0,01;0,05;0,00;0,17
10;14,3;-0,17;0,11;9,80;0,22;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,65;-1,33;-0,01;0,04;0,00;0,17
20;14,4;-0,17;0,08;9,84;0,22;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,65;-1,33;-0,02;0,04;0,00;0,17
30;14,2;-0,14;0,18;9,79;0,03;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,59;-1,33;-0,02;0,03;0,00;0,17
40;14,3;-0,07;0,18;9,71;0,08;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,71;-1,33;0,01;0,03;0,00;0,17
50;14,4;-0,07;0,19;9,72;0,13;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,77;-1,33;0,06;0,03;0,00;0,17
60;14,4;-0,18;0,14;9,82;-0,03;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,83;-1,33;0,06;0,04;0,00;0,17
70;14,2;0,06;0,16;9,85;-0,05;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,83;-1,33;-0,05;0,03;0,00;0,17
80;14,3;-0,13;0,10;9,81;0,11;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,84;-1,33;0,20;0,04;0,00;0,18
90;14,4;-0,07;0,12;9,81;0,24;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,81;-1,33;0,01;0,04;0,00;0,18
100;14,4;-0,17;0,11;9,80;0,05;0,18;0;0;0;299,2;4,5117598;51,9443932;-1,41;-20,53;-19,75;1;7;1,0;3,0;1,33;0,80;-1,33;0,06;0,04;0,00;0,18
