FILE NAME;002_22306_131120_090459.CSV
HASHCODE;3312D105EE18912E695553DAE6026673C57BE79CD717742B88172E2B36B6A9B9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;09:05:00;GMT+00:00
END OF MEASUREMENT;13/11/2020;09:05:21;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21800;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6350;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   16510;[mS]
PEAK GPS SPEED; 48,46;[kph]
TIME OF PEAK GPS SPEED;   13120;[mS]
PEAK SPEED; 49,92;[kph]
TIME OF PEAK SPEED;   13150;[mS]
TIME ACC WENT OVER 1m/s/s;   10400;[mS]
PEAK ACC; 12,22;[m/s/s]
TIME OF PEAK ACC;   14120;[mS]
PEAK PITCH;   4,33;[deg]
TIME OF PEAK PITCH;   15930;[mS]
PEAK SLIP; 175,37;[deg]
TIME OF PEAK SLIP;    8120;[mS]
AVERAGE LONG ACCEL AT START; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,22;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,11;[deg/s]
AVERAGE LONG ACCEL AT END; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,54;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;   0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,5;-0,38;0,21;9,83;0,30;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,34;0,93;-1,49;0,04;0,01;0,00;0,13
10;14,4;-0,15;0,24;9,85;0,30;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,22;-1,49;-0,12;-0,00;0,00;0,12
20;14,5;-0,32;0,22;9,81;0,12;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,30;-1,49;0,11;0,01;0,00;0,12
30;14,6;-0,25;0,16;9,84;-0,14;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,29;-1,49;-0,06;0,00;0,00;0,12
40;14,5;-0,38;0,16;9,84;-0,11;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,20;-1,49;0,00;0,00;0,00;0,12
50;14,4;-0,22;0,29;9,82;-0,09;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,15;-1,49;-0,12;-0,01;0,00;0,12
60;14,5;-0,27;0,24;9,69;0,03;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,23;-1,49;0,03;-0,01;0,00;0,12
70;14,6;-0,24;0,25;9,76;-0,14;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,26;-1,49;-0,01;-0,01;0,00;0,12
80;14,6;-0,39;0,21;9,83;-0,13;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,28;-1,50;0,02;-0,00;0,00;0,12
90;14,5;-0,17;0,24;9,86;0,19;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,27;-1,50;-0,13;-0,02;0,00;0,11
100;14,6;-0,31;0,15;9,78;0,30;0,18;0;0;0;184,6;4,5117326;51,9444542;-3,28;-13,69;2,86;1;9;1,0;2,0;1,49;1,28;-1,50;0,09;-0,01;0,00;0,12
