FILE NAME;003_22306_131120_090618.CSV
HASHCODE;25B7789E1FB23793DD4260F5435AC6E2E3DB0BB789A1BDFDD9C98ECD2D260770
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;09:06:18;GMT+00:00
END OF MEASUREMENT;13/11/2020;09:06:22;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   22430;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6920;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17160;[mS]
PEAK GPS SPEED; 52,20;[kph]
TIME OF PEAK GPS SPEED;   14340;[mS]
PEAK SPEED; 53,88;[kph]
TIME OF PEAK SPEED;   14330;[mS]
TIME ACC WENT OVER 1m/s/s;   12320;[mS]
PEAK ACC; 11,25;[m/s/s]
TIME OF PEAK ACC;   15940;[mS]
PEAK PITCH;   4,88;[deg]
TIME OF PEAK PITCH;   16620;[mS]
PEAK SLIP; 138,19;[deg]
TIME OF PEAK SLIP;    8340;[mS]
AVERAGE LONG ACCEL AT START; -0,07;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,08;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,10;[deg/s]
AVERAGE LONG ACCEL AT END; -0,39;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,61;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;   0,06;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,5;-0,18;0,02;9,81;-0,06;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;1,49;1,29;-0,48;0,08;0,00;0,00;0,70
0;14,6;-0,12;0,02;9,85;-0,20;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,48;0,14;-0,48;-0,11;-0,01;0,00;0,69
10;14,6;-0,13;0,04;9,86;0,41;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,48;0,14;-0,48;-0,05;-0,01;0,00;0,69
20;14,5;0,06;0,13;9,83;0,36;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,48;0,18;-0,48;-0,06;-0,02;0,00;0,69
30;14,6;-0,15;0,10;9,72;0,20;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,48;0,32;-0,47;0,10;-0,01;0,00;0,69
40;14,6;-0,08;0,08;9,78;0,21;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,48;0,38;-0,47;-0,10;-0,02;0,00;0,69
50;14,5;0,02;0,06;9,83;-0,07;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,47;0,39;-0,47;-0,03;-0,02;0,00;0,69
60;14,5;0,02;0,08;9,83;0,11;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,47;0,39;-0,47;0,06;-0,01;0,00;0,69
70;14,6;-0,14;0,03;9,81;0,01;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,47;0,40;-0,47;0,06;-0,00;0,00;0,69
80;14,6;-0,08;0,03;9,80;-0,04;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,47;0,38;-0,47;-0,09;-0,01;0,00;0,69
90;14,6;-0,00;0,05;9,85;0,31;0,76;0;0;0;246,6;4,5117931;51,9444847;0,88;-10,26;7,37;1;9;1,7;2,1;0,47;0,36;-0,47;-0,03;-0,01;0,00;0,69
