FILE NAME;005_22306_131120_090851.CSV
HASHCODE;58F94CA274B822D14E0348355173625578BF272D9D96FB199F0E69932C40C52D
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;09:08:51;GMT+00:00
END OF MEASUREMENT;13/11/2020;09:09:13;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21940;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8480;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   18700;[mS]
PEAK GPS SPEED; 52,09;[kph]
TIME OF PEAK GPS SPEED;   15500;[mS]
PEAK SPEED; 54,09;[kph]
TIME OF PEAK SPEED;   15760;[mS]
TIME ACC WENT OVER 1m/s/s;   12400;[mS]
PEAK ACC; 12,15;[m/s/s]
TIME OF PEAK ACC;   16590;[mS]
PEAK PITCH;   3,78;[deg]
TIME OF PEAK PITCH;   17880;[mS]
PEAK SLIP; 145,51;[deg]
TIME OF PEAK SLIP;    9710;[mS]
AVERAGE LONG ACCEL AT START; -0,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,16;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,09;[deg/s]
AVERAGE LONG ACCEL AT END; -0,25;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,26;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,4;0,14;0,11;9,82;-0,11;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;4,73;0,87;0,25;0,06;0,09;0,00;0,66
0;14,5;-0,04;0,11;9,82;-0,11;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,65;0,24;0,22;0,10;0,00;0,67
10;14,6;-0,04;0,08;9,84;0,20;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,65;0,24;0,04;0,10;0,00;0,67
20;14,5;-0,02;0,14;9,86;-0,01;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,59;0,24;0,04;0,09;0,00;0,67
30;14,5;0,07;0,24;9,79;0,29;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,65;0,24;0,06;0,09;0,00;0,68
40;14,6;-0,09;0,21;9,75;-0,10;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,80;0,24;0,15;0,09;0,00;0,68
50;14,6;-0,10;0,18;9,79;-0,33;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,87;0,24;-0,01;0,08;0,00;0,68
60;14,5;-0,07;0,13;9,88;0,37;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-12,17;12,11;1;6;1,8;2,1;0,24;0,89;0,24;-0,02;0,07;0,00;0,68
70;14,5;0,06;0,17;9,86;0,21;1,01;0;0;0;252,6;4,5118084;51,9444695;1,93;-11,79;12,11;1;6;1,8;2,1;0,24;0,88;0,24;0,01;0,07;0,00;0,68
80;14,7;-0,13;0,10;9,84;0,05;1,01;0;0;0;251,2;4,5118084;51,9444695;1,93;-11,79;12,20;1;6;1,8;2,1;0,24;0,89;0,24;0,14;0,07;0,00;0,68
90;14,6;-0,03;0,09;9,82;-0,18;1,01;0;0;0;251,2;4,5118084;51,9444695;1,93;-11,79;12,20;1;6;1,8;2,1;0,24;0,86;0,24;-0,05;0,06;0,00;0,68
