FILE NAME;006_22306_131120_101442.CSV
HASHCODE;D90B38EBAD38C3437120C4799367BB593C7FEF9C4C2E10A4759090190B253493
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:14:42;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:15:06;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   23310;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8810;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   19200;[mS]
PEAK GPS SPEED; 50,22;[kph]
TIME OF PEAK GPS SPEED;   15830;[mS]
PEAK SPEED; 48,59;[kph]
TIME OF PEAK SPEED;   15970;[mS]
TIME ACC WENT OVER 1m/s/s;   12170;[mS]
PEAK ACC; 10,68;[m/s/s]
TIME OF PEAK ACC;   18280;[mS]
PEAK PITCH;   4,70;[deg]
TIME OF PEAK PITCH;   18440;[mS]
PEAK SLIP; 179,74;[deg]
TIME OF PEAK SLIP;   10030;[mS]
AVERAGE LONG ACCEL AT START; -0,41;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,38;[deg/s]
AVERAGE LONG ACCEL AT END; -0,45;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,56;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,77;[m/s/s]
AVERAGE PITCH RATE AT END;   0,22;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,2;-0,31;0,09;9,82;-0,16;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,73;1;8;0,7;2,1;0,77;0,92;-1,94;0,05;0,02;0,00;0,05
10;14,2;-0,38;0,10;9,77;0,31;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,54;-1,95;0,13;0,03;0,00;0,05
20;14,3;-0,38;0,03;9,83;0,83;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,56;-1,95;0,06;0,03;0,00;0,05
30;14,3;-0,46;0,02;9,83;0,16;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,44;-1,94;0,06;0,04;0,00;0,06
40;14,1;-0,37;0,06;9,86;0,39;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,37;-1,94;-0,03;0,03;0,00;0,05
50;14,2;-0,32;0,12;9,71;0,21;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,37;-1,94;0,07;0,03;0,00;0,06
60;14,4;-0,39;0,16;9,81;0,14;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,42;-1,95;0,12;0,04;0,00;0,06
70;14,3;-0,52;0,12;9,78;0,53;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,50;-1,95;0,05;0,04;0,00;0,06
80;14,1;-0,32;0,10;9,84;0,38;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,52;-1,95;-0,08;0,03;0,00;0,06
90;14,3;-0,40;0,02;9,74;0,25;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,53;-1,95;0,12;0,04;0,00;0,07
100;14,4;-0,45;0,00;9,86;0,60;0,07;0;0;0;22,6;4,5117354;51,9444733;1316,26;139,14;-3,80;1;7;0,7;2,1;1,95;0,49;-1,95;0,04;0,04;0,00;0,07
