FILE NAME;008_22306_131120_101659.CSV
HASHCODE;945064C2514F0452B47AB900937268D39EE8882790233E4C24D976B67AD8197B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:16:59;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:17:21;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21790;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7670;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   18070;[mS]
PEAK GPS SPEED; 50,33;[kph]
TIME OF PEAK GPS SPEED;   14890;[mS]
PEAK SPEED; 47,14;[kph]
TIME OF PEAK SPEED;   14950;[mS]
TIME ACC WENT OVER 1m/s/s;   11480;[mS]
PEAK ACC; 11,18;[m/s/s]
TIME OF PEAK ACC;   16940;[mS]
PEAK PITCH;   4,76;[deg]
TIME OF PEAK PITCH;   17360;[mS]
PEAK SLIP; 159,17;[deg]
TIME OF PEAK SLIP;    8680;[mS]
AVERAGE LONG ACCEL AT START; -0,24;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,30;[deg/s]
AVERAGE LONG ACCEL AT END; -0,42;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,24;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,6;-0,18;0,04;9,77;0,41;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;2,43;0,43;0,39;-0,78;-0,83;0,00;0,00
0;14,7;-0,32;0,00;9,86;0,41;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,39;0,25;0,39;-0,77;-0,82;0,00;0,00
10;14,7;-0,31;-0,04;9,84;0,36;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,39;0,14;0,39;-0,90;-0,83;0,00;0,00
20;14,6;-0,18;0,05;9,84;0,53;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,39;0,01;0,38;-0,89;-0,84;0,00;0,00
30;14,6;-0,18;0,10;9,74;0,20;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,39;0,08;0,38;-0,76;-0,83;0,00;0,00
40;14,7;-0,23;0,14;9,83;0,10;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,39;0,19;0,38;-0,76;-0,82;0,00;0,00
50;14,7;-0,34;0,10;9,84;0,35;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,38;0,29;0,37;-0,81;-0,82;0,00;0,00
60;14,6;-0,20;0,13;9,85;0,62;0,11;0;0;0;22,3;4,5118189;51,9445114;1322,00;143,32;-6,15;1;7;1,3;1,7;0,38;0,33;0,37;-0,92;-0,83;0,00;0,00
70;14,6;-0,26;0,03;9,76;0,64;0,14;0;0;0;22,3;4,5118194;51,9445114;1322,03;143,32;-6,19;1;7;1,3;1,7;0,38;0,39;0,37;-0,78;-0,83;0,00;0,00
80;14,7;-0,34;-0,01;9,88;0,52;0,14;0;0;0;22,3;4,5118194;51,9445114;1322,03;143,32;-6,19;1;7;1,3;1,7;0,38;0,37;0,37;-0,84;-0,83;0,00;0,00
90;14,7;-0,33;-0,01;9,83;0,12;0,14;0;0;0;22,3;4,5118194;51,9445114;1322,03;143,32;-6,19;1;7;1,3;1,7;0,38;0,33;0,37;-0,91;-0,84;0,00;0,00
