FILE NAME;009_22306_131120_101747.CSV
HASHCODE;0F87933A53EBA59DD17749B34606634921C759252A56DD7361BBA5260E4F842E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:17:47;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:18:09;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21820;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7440;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17430;[mS]
PEAK GPS SPEED; 51,08;[kph]
TIME OF PEAK GPS SPEED;   14050;[mS]
PEAK SPEED; 49,44;[kph]
TIME OF PEAK SPEED;   13930;[mS]
TIME ACC WENT OVER 1m/s/s;   11950;[mS]
PEAK ACC; 10,77;[m/s/s]
TIME OF PEAK ACC;   15700;[mS]
PEAK PITCH;   4,39;[deg]
TIME OF PEAK PITCH;   16410;[mS]
PEAK SLIP; 146,36;[deg]
TIME OF PEAK SLIP;    9850;[mS]
AVERAGE LONG ACCEL AT START; -0,22;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,00;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,36;[deg/s]
AVERAGE LONG ACCEL AT END; -0,42;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,31;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,7;-0,22;0,04;9,80;0,51;0,11;0;0;0;215,1;4,5118465;51,9444466;1323,91;135,72;-5,55;1;8;2,0;2,0;0,20;0,39;3,92;-1,85;-1,84;0,00;0,00
0;14,6;-0,23;0,04;9,80;0,40;0,11;0;0;0;215,1;4,5118465;51,9444466;1323,91;135,72;-5,55;1;8;2,0;2,0;3,91;0,25;3,91;-1,81;-1,84;0,00;0,00
10;14,7;-0,23;-0,02;9,74;0,46;0,11;0;0;0;215,1;4,5118465;51,9444466;1323,91;135,72;-5,55;1;8;2,0;2,0;3,91;0,25;3,90;-1,82;-1,83;0,00;0,00
20;14,7;-0,24;-0,09;9,89;0,14;0,11;0;0;0;215,1;4,5118465;51,9444466;1323,91;135,72;-5,55;1;8;2,0;2,0;3,90;0,12;3,89;-1,82;-1,83;0,00;0,00
30;14,6;-0,19;-0,02;9,85;0,44;0,11;0;0;0;215,1;4,5118465;51,9444466;1323,91;135,72;-5,55;1;8;2,0;2,0;3,90;0,04;3,88;-1,82;-1,83;0,00;0,00
40;14,6;-0,15;0,00;9,77;0,52;0,04;0;0;0;215,1;4,5118480;51,9444466;1324,02;135,72;-5,76;1;8;1,9;2,0;3,89;0,06;3,87;-1,77;-1,83;0,00;0,00
50;14,7;-0,15;0,05;9,81;0,46;0,04;0;0;0;215,1;4,5118480;51,9444466;1324,02;135,72;-5,76;1;8;1,9;2,0;3,89;0,05;3,86;-1,72;-1,82;0,00;0,00
60;14,7;-0,30;0,03;9,82;0,19;0,04;0;0;0;215,1;4,5118480;51,9444466;1324,02;135,72;-5,76;1;8;1,9;2,0;3,88;0,00;3,85;-1,72;-1,81;0,00;0,00
70;14,6;-0,20;0,08;9,82;0,34;0,04;0;0;0;215,1;4,5118480;51,9444466;1324,02;135,72;-5,76;1;8;1,9;2,0;3,88;0,03;3,84;-1,87;-1,81;0,00;0,00
80;14,6;-0,22;0,06;9,77;0,01;0,04;0;0;0;215,1;4,5118480;51,9444466;1324,02;135,72;-5,76;1;8;1,9;2,0;3,87;0,08;3,83;-1,78;-1,81;0,00;0,00
90;14,7;-0,19;-0,03;9,84;0,28;0,04;0;0;0;215,1;4,5118480;51,9444466;1324,02;135,72;-5,76;1;8;1,9;2,0;3,86;0,11;3,81;-1,79;-1,81;0,00;0,00
