FILE NAME;010_22306_131120_101834.CSV
HASHCODE;14F6EFF610900AFDEF4A9899CFEA90DCA2C502EFF51158E9153E492818362D29
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:18:34;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:18:55;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   20610;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7210;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   16800;[mS]
PEAK GPS SPEED; 48,60;[kph]
TIME OF PEAK GPS SPEED;   13620;[mS]
PEAK SPEED; 48,46;[kph]
TIME OF PEAK SPEED;   13280;[mS]
TIME ACC WENT OVER 1m/s/s;   11140;[mS]
PEAK ACC; 10,01;[m/s/s]
TIME OF PEAK ACC;   14340;[mS]
PEAK PITCH;   3,76;[deg]
TIME OF PEAK PITCH;   16940;[mS]
PEAK SLIP; 138,37;[deg]
TIME OF PEAK SLIP;    8430;[mS]
AVERAGE LONG ACCEL AT START; -0,23;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,33;[deg/s]
AVERAGE LONG ACCEL AT END; -0,43;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,27;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,7;-0,21;0,06;9,87;0,13;0,32;0;0;0;242,1;4,5117974;51,9445038;1320,54;142,18;-6,63;1;7;1,6;1,7;3,42;0,02;2,01;-0,85;-0,88;0,00;0,00
10;14,6;-0,31;0,08;9,86;0,37;0,32;0;0;0;242,1;4,5117974;51,9445038;1320,54;142,18;-6,63;1;7;1,6;1,7;2,01;0,37;2,01;-0,86;-0,88;0,00;0,00
20;14,6;-0,19;0,08;9,85;0,25;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;2,00;0,42;2,00;-0,96;-0,89;0,00;0,00
30;14,6;-0,27;0,04;9,76;0,33;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;2,00;0,44;1,99;-0,84;-0,88;0,00;0,00
40;14,7;-0,23;-0,03;9,89;0,16;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;2,00;0,39;1,99;-0,92;-0,88;0,00;0,00
50;14,6;-0,33;-0,01;9,87;0,20;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;1,99;0,28;1,98;-0,88;-0,88;0,00;0,00
60;14,6;-0,16;0,03;9,85;0,14;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;1,99;0,22;1,97;-0,97;-0,89;0,00;0,00
70;14,6;-0,20;0,09;9,77;0,49;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;1,98;0,21;1,96;-0,80;-0,88;0,00;0,00
80;14,7;-0,31;0,11;9,85;0,72;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;1,98;0,25;1,96;-0,85;-0,88;0,00;0,00
90;14,6;-0,33;0,12;9,86;0,42;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;1,98;0,30;1,95;-0,95;-0,89;0,00;0,00
100;14,5;-0,19;0,13;9,85;0,41;0,32;0;0;0;260,4;4,5117974;51,9445076;1320,54;142,56;-6,55;1;7;1,6;1,7;1,97;0,34;1,95;-0,97;-0,90;0,00;0,00
