FILE NAME;011_22306_131120_104232.CSV
HASHCODE;B0BE764837C6745AF906DEBE1034E13B4CB4D621B2BC15938023B04BD6D1D24B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:42:32;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:42:41;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;    8680;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4230;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  6,30;[kph]
TIME OF PEAK GPS SPEED;    4230;[mS]
PEAK SPEED;  7,85;[kph]
TIME OF PEAK SPEED;    4680;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,39;[m/s/s]
TIME OF PEAK ACC;    4540;[mS]
PEAK PITCH;   7,95;[deg]
TIME OF PEAK PITCH;    6750;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,12;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,25;0,05;9,78;-0,02;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,54;0,81;0,00;0,00;-0,41;0,00;0,00
10;12,3;-0,27;0,05;9,77;-0,02;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
20;12,2;-0,26;0,05;9,79;0,07;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
30;12,2;-0,25;0,05;9,80;-0,83;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
40;12,2;-0,31;0,05;9,79;-0,47;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
50;12,2;-0,28;0,05;9,80;-0,08;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
60;12,2;-0,29;0,05;9,75;0,54;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
70;12,2;-0,18;0,06;9,82;0,26;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,31;0,00;0,00;-0,41;0,00;0,00
80;12,2;-0,29;0,06;9,85;0,27;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,32;0,00;0,00;-0,41;0,00;0,00
90;12,2;-0,27;0,07;9,80;0,40;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,32;0,00;0,00;-0,41;0,00;0,00
100;12,2;-0,28;0,08;9,83;0,20;0,00;0;0;0;341,1;4,5156326;51,9498520;0,00;0,00;452,87;0;3;9999;9999;0,00;0,33;0,00;0,00;-0,41;0,00;0,00
