FILE NAME;012_22306_131120_104249.CSV
HASHCODE;00F60000E84DC32E1B6DB3550309064BB75154D23437ADC5ADB7E221D3F95FCB
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:42:49;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:43:04;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   14310;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     170;[mS]
PEAK GPS SPEED;  0,25;[kph]
TIME OF PEAK GPS SPEED;     170;[mS]
PEAK SPEED;  0,63;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,62;[m/s/s]
TIME OF PEAK ACC;    2720;[mS]
PEAK PITCH;   2,41;[deg]
TIME OF PEAK PITCH;    6610;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -0,28;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END;  0,01;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,13;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,25;0,08;9,77;-0,37;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,00;0,31;-1,02;-0,81;-0,87;0,00;0,66
10;12,2;-0,25;0,07;9,78;-0,11;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;1,01;0,48;-1,01;-0,80;-0,86;0,00;0,63
20;12,2;-0,26;0,08;9,77;0,16;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;1,00;0,45;-1,00;-0,80;-0,85;0,00;0,61
30;12,2;-0,26;0,07;9,78;0,08;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,99;0,46;-0,98;-0,82;-0,85;0,00;0,58
40;12,2;-0,27;0,07;9,77;0,05;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,99;0,45;-0,96;-0,82;-0,85;0,00;0,55
50;12,2;-0,25;0,06;9,78;0,10;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,98;0,45;-0,95;-0,83;-0,85;0,00;0,52
60;12,2;-0,27;0,05;9,77;-0,09;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,97;0,43;-0,93;-0,81;-0,84;0,00;0,49
70;12,2;-0,28;0,05;9,78;0,05;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,96;0,42;-0,91;-0,84;-0,84;0,00;0,46
80;12,2;-0,30;0,04;9,79;0,08;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,95;0,40;-0,90;-0,76;-0,83;0,00;0,43
90;12,2;-0,28;0,04;9,80;0,11;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,95;0,39;-0,88;-0,78;-0,83;0,00;0,40
100;12,2;-0,25;0,04;9,78;0,10;0,50;0;0;0;257,6;4,5115528;51,9444199;0,00;0,00;-12,29;0;5;2,6;18,3;0,94;0,37;-0,86;-0,76;-0,82;0,00;0,37
