FILE NAME;013_22306_131120_104312.CSV
HASHCODE;488DCB4EA1FF699028C8076E51FC9C424359D5D35129954959566AE85C66B9F3
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:43:12;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:43:36;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   23860;[mS]
TIME GPS SPEED WENT OVER 2KPH;   10160;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   20160;[mS]
PEAK GPS SPEED; 49,10;[kph]
TIME OF PEAK GPS SPEED;   16960;[mS]
PEAK SPEED; 46,76;[kph]
TIME OF PEAK SPEED;   16640;[mS]
TIME ACC WENT OVER 1m/s/s;   16670;[mS]
PEAK ACC;  8,73;[m/s/s]
TIME OF PEAK ACC;   17930;[mS]
PEAK PITCH;   1,40;[deg]
TIME OF PEAK PITCH;   11100;[mS]
PEAK SLIP; 109,93;[deg]
TIME OF PEAK SLIP;   11380;[mS]
AVERAGE LONG ACCEL AT START; -0,01;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END; -0,11;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,43;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,77;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,01;0,08;9,81;0,12;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,36;0,31;-0,13;0,01;0,00;0,00;0,09
0;12,1;-0,00;0,07;9,80;0,08;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,48;-0,12;-0,00;0,00;0,00;0,09
10;12,1;-0,01;0,07;9,80;0,08;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,45;-0,12;0,01;0,00;0,00;0,09
20;12,1;-0,02;0,07;9,80;-0,20;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,44;-0,12;-0,00;0,00;0,00;0,09
30;12,1;-0,02;0,06;9,79;-0,02;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,44;-0,13;-0,01;-0,00;0,00;0,09
40;12,1;-0,00;0,05;9,79;-0,01;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,42;-0,13;-0,03;-0,00;0,00;0,09
50;12,1;-0,02;0,05;9,78;0,32;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,13;0,40;-0,13;-0,01;-0,00;0,00;0,09
60;12,1;-0,00;0,05;9,79;0,06;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,13;0,39;-0,12;-0,03;-0,01;0,00;0,09
70;12,1;-0,03;0,04;9,76;0,04;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,38;-0,12;-0,01;-0,01;0,00;0,09
80;12,1;-0,02;0,04;9,78;0,12;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,37;-0,12;-0,04;-0,01;0,00;0,08
90;12,1;0,01;0,04;9,78;0,06;0,04;0;0;0;47,6;4,5114398;51,9443855;-3,25;-1,14;-14,67;1;5;0,9;2,3;0,12;0,36;-0,12;-0,03;-0,01;0,00;0,08
