FILE NAME;014_22306_131120_104453.CSV
HASHCODE;D8D402BDAC0563C6F11F0B2E33885C1DB4BE90D92814256EDBBC2C809CB00822
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:44:53;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:45:14;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   20950;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6530;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   16720;[mS]
PEAK GPS SPEED; 51,98;[kph]
TIME OF PEAK GPS SPEED;   13730;[mS]
PEAK SPEED; 51,45;[kph]
TIME OF PEAK SPEED;   13440;[mS]
TIME ACC WENT OVER 1m/s/s;   13050;[mS]
PEAK ACC;  8,57;[m/s/s]
TIME OF PEAK ACC;   14830;[mS]
PEAK PITCH;   1,90;[deg]
TIME OF PEAK PITCH;    9190;[mS]
PEAK SLIP; 133,88;[deg]
TIME OF PEAK SLIP;    8330;[mS]
AVERAGE LONG ACCEL AT START; -0,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,14;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,11;[deg/s]
AVERAGE LONG ACCEL AT END; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,35;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,78;[m/s/s]
AVERAGE PITCH RATE AT END;   0,10;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,5;-0,03;0,20;9,78;0,10;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;0,10;0,36;1,31;-0,70;-0,85;0,00;0,00
10;14,5;-0,20;0,20;9,78;0,10;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,30;1,16;1,30;-0,83;-0,85;0,00;0,00
20;14,5;-0,20;0,20;9,78;-0,18;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,30;1,16;1,30;-1,00;-0,86;0,00;0,00
30;14,4;0,03;0,24;9,84;0,20;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,30;1,16;1,30;-1,00;-0,88;0,00;0,00
40;14,5;-0,12;0,13;9,76;-0,05;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,30;1,22;1,30;-0,77;-0,86;0,00;0,00
50;14,6;-0,11;0,10;9,84;0,07;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,30;1,13;1,29;-0,91;-0,87;0,00;0,00
60;14,5;-0,17;0,04;9,83;0,01;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,30;1,04;1,29;-0,90;-0,87;0,00;0,00
70;14,4;0,06;0,13;9,81;-0,01;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,29;0,92;1,29;-0,96;-0,88;0,00;0,00
80;14,6;-0,00;0,13;9,70;0,16;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,29;0,90;1,28;-0,72;-0,87;0,00;0,00
90;14,6;-0,04;0,12;9,81;0,01;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,29;0,89;1,28;-0,79;-0,86;0,00;0,00
100;14,5;-0,00;0,16;9,77;0,41;0,22;0;0;0;272,0;4,5117130;51,9444466;15,50;5,32;6,72;1;6;1,8;3,2;1,29;0,87;1,28;-0,83;-0,85;0,00;0,00
