FILE NAME;015_22306_131120_104537.CSV
HASHCODE;13225B8A588F33FDA6E2407DB72F78246038DF77D12579FE05BEEC396A68AAB4
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:45:38;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:46:00;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   22040;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6790;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17190;[mS]
PEAK GPS SPEED; 48,67;[kph]
TIME OF PEAK GPS SPEED;   14190;[mS]
PEAK SPEED; 46,01;[kph]
TIME OF PEAK SPEED;   13810;[mS]
TIME ACC WENT OVER 1m/s/s;   13760;[mS]
PEAK ACC;  8,85;[m/s/s]
TIME OF PEAK ACC;   14820;[mS]
PEAK PITCH;   2,81;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 152,06;[deg]
TIME OF PEAK SLIP;    9000;[mS]
AVERAGE LONG ACCEL AT START; -0,07;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,11;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,09;[deg/s]
AVERAGE LONG ACCEL AT END; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,35;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,78;[m/s/s]
AVERAGE PITCH RATE AT END;   0,06;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,5;-0,09;0,12;9,78;-0,07;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;1,20;0,84;2,82;-3,17;-3,17;0,00;0,00
0;14,6;-0,08;0,12;9,83;0,11;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,81;0,71;2,81;-3,20;-3,17;0,00;0,00
10;14,6;-0,20;0,04;9,87;-0,11;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,81;0,71;2,81;-3,19;-3,18;0,00;0,00
20;14,5;-0,04;0,08;9,82;0,39;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,81;0,56;2,80;-3,31;-3,19;0,00;0,00
30;14,5;-0,05;0,13;9,78;0,12;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,80;0,54;2,80;-3,15;-3,19;0,00;0,00
40;14,6;-0,05;0,15;9,76;0,19;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,80;0,58;2,79;-3,16;-3,18;0,00;0,00
50;14,6;-0,19;0,14;9,80;-0,15;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,80;0,63;2,78;-3,15;-3,18;0,00;0,00
60;14,5;0,04;0,20;9,81;0,14;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,79;0,66;2,78;-3,30;-3,19;0,00;0,00
70;14,5;-0,09;0,12;9,74;0,46;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,79;0,72;2,77;-3,06;-3,18;0,00;0,00
80;14,6;-0,09;0,10;9,81;0,01;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,79;0,72;2,77;-3,19;-3,18;0,00;0,00
90;14,6;-0,20;0,02;9,84;-0,21;0,32;0;0;0;287,4;4,5117202;51,9444389;15,99;4,56;-5,39;1;6;1,8;3,0;2,79;0,71;2,76;-3,19;-3,18;0,00;0,00
