FILE NAME;016_22306_131120_104650.CSV
HASHCODE;AD990A97D6DF3EE6A5C8CC12C4EF25710BFC6D698BBAAE3ADF3ACBA8838548C1
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:46:50;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:47:11;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21150;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5440;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   16850;[mS]
PEAK GPS SPEED; 49,97;[kph]
TIME OF PEAK GPS SPEED;   13660;[mS]
PEAK SPEED; 50,77;[kph]
TIME OF PEAK SPEED;   12730;[mS]
TIME ACC WENT OVER 1m/s/s;   10690;[mS]
PEAK ACC;  8,66;[m/s/s]
TIME OF PEAK ACC;   16420;[mS]
PEAK PITCH;   1,74;[deg]
TIME OF PEAK PITCH;    9270;[mS]
PEAK SLIP; 152,11;[deg]
TIME OF PEAK SLIP;    7650;[mS]
AVERAGE LONG ACCEL AT START; -0,10;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,09;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,06;[deg/s]
AVERAGE LONG ACCEL AT END; -0,22;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,34;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,6;-0,08;0,02;9,82;0,31;0,22;0;0;0;242,9;4,5116644;51,9444313;12,16;4,18;-12,17;1;6;0,9;2,0;2,53;0,63;-0,75;0,10;0,04;0,00;0,09
0;14,6;-0,22;-0,03;9,81;-0,02;0,22;0;0;0;242,9;4,5116644;51,9444313;12,16;4,18;-12,17;1;6;0,9;2,0;0,75;0,14;-0,75;0,08;0,05;0,00;0,09
10;14,5;-0,06;0,07;9,83;-0,16;0,22;0;0;0;242,9;4,5116644;51,9444313;12,16;4,18;-12,17;1;6;0,9;2,0;0,75;0,03;-0,75;-0,07;0,04;0,00;0,09
20;14,5;-0,05;0,10;9,79;0,23;0,22;0;0;0;242,9;4,5116644;51,9444313;12,16;4,18;-12,17;1;6;0,9;2,0;0,75;0,12;-0,75;0,10;0,04;0,00;0,09
30;14,6;-0,10;0,12;9,76;0,09;0,22;0;0;0;242,9;4,5116644;51,9444313;12,16;4,18;-12,17;1;6;0,9;2,0;0,75;0,24;-0,75;0,11;0,05;0,00;0,10
40;14,6;-0,19;0,10;9,78;-0,01;0,18;0;0;0;21,7;4,5116649;51,9444313;12,19;4,18;-12,16;1;6;0,9;2,0;0,75;0,33;-0,75;0,06;0,05;0,00;0,10
50;14,5;-0,13;0,15;9,84;0,06;0,18;0;0;0;21,7;4,5116649;51,9444313;12,19;4,18;-12,16;1;6;0,9;2,0;0,75;0,38;-0,75;-0,04;0,04;0,00;0,10
60;14,6;-0,13;0,06;9,75;0,17;0,18;0;0;0;21,7;4,5116649;51,9444313;12,19;4,18;-12,16;1;6;0,9;2,0;0,75;0,45;-0,75;0,03;0,04;0,00;0,10
70;14,7;-0,16;0,00;9,82;-0,32;0,18;0;0;0;21,7;4,5116649;51,9444313;12,19;4,18;-12,16;1;6;0,9;2,0;0,75;0,44;-0,75;0,03;0,04;0,00;0,10
80;14,6;-0,20;0,02;9,81;0,11;0,18;0;0;0;21,7;4,5116649;51,9444313;12,19;4,18;-12,16;1;6;0,9;2,0;0,75;0,39;-0,75;-0,01;0,03;0,00;0,10
90;14,5;-0,04;0,06;9,87;0,40;0,18;0;0;0;21,7;4,5116649;51,9444313;12,19;4,18;-12,16;1;6;0,9;2,0;0,75;0,37;-0,75;-0,06;0,02;0,00;0,10
