FILE NAME;017_22306_131120_104734.CSV
HASHCODE;EDD857BEC078E30DFC61D3C98600371DCB3723FA913DF3D87D739AF2A2EC74C1
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:47:35;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:47:56;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21360;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6880;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17490;[mS]
PEAK GPS SPEED; 51,41;[kph]
TIME OF PEAK GPS SPEED;   14290;[mS]
PEAK SPEED; 50,54;[kph]
TIME OF PEAK SPEED;   13580;[mS]
TIME ACC WENT OVER 1m/s/s;   13550;[mS]
PEAK ACC;  8,62;[m/s/s]
TIME OF PEAK ACC;   14400;[mS]
PEAK PITCH;   1,77;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 155,82;[deg]
TIME OF PEAK SLIP;    8690;[mS]
AVERAGE LONG ACCEL AT START; -0,06;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,11;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,10;[deg/s]
AVERAGE LONG ACCEL AT END; -0,15;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,32;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,6;-0,12;0,19;9,84;-0,18;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;0,72;0,54;1,77;-3,87;-3,77;0,00;0,00
10;14,6;-0,05;0,19;9,84;-0,18;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,77;1,10;1,77;-3,82;-3,77;0,00;0,00
20;14,7;-0,05;0,12;9,77;-0,05;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,76;1,10;1,76;-3,75;-3,77;0,00;0,00
30;14,7;-0,16;0,05;9,85;0,10;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,76;0,97;1,76;-3,75;-3,77;0,00;0,00
40;14,6;-0,13;0,09;9,85;0,19;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,76;0,81;1,75;-3,85;-3,78;0,00;0,00
50;14,6;-0,00;0,13;9,70;0,09;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,76;0,75;1,75;-3,82;-3,78;0,00;0,00
60;14,7;-0,02;0,17;9,72;0,07;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,76;0,75;1,74;-3,70;-3,77;0,00;0,00
70;14,6;-0,18;0,15;9,80;0,35;0,25;0;0;0;228,0;4,5116959;51,9444389;14,32;4,56;-7,87;1;6;1,9;2,2;1,75;0,79;1,74;-3,71;-3,77;0,00;0,00
80;14,6;-0,00;0,21;9,82;0,16;0,25;0;0;0;228,0;4,5116949;51,9444389;14,27;4,56;-7,87;1;6;1,9;2,2;1,75;0,80;1,74;-3,88;-3,78;0,00;0,00
90;14,6;-0,07;0,15;9,73;0,30;0,18;0;0;0;226,6;4,5116949;51,9444389;14,27;4,56;-8,01;1;6;1,8;2,2;1,75;0,84;1,74;-3,69;-3,77;0,00;0,00
100;14,7;-0,10;0,13;9,78;0,19;0,18;0;0;0;226,6;4,5116949;51,9444389;14,27;4,56;-8,01;1;6;1,8;2,2;1,75;0,85;1,73;-3,76;-3,77;0,00;0,00
