FILE NAME;018_22306_131120_105620.CSV
HASHCODE;FEA6E4305FCD169BB820CA5216462445355C59BBDC420C86C450298C6D85EDEB
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:56:20;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:56:38;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   18080;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,83;[kph]
TIME OF PEAK GPS SPEED;   15780;[mS]
PEAK SPEED; 22,73;[kph]
TIME OF PEAK SPEED;    6520;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,22;[m/s/s]
TIME OF PEAK ACC;   11910;[mS]
PEAK PITCH;   7,98;[deg]
TIME OF PEAK PITCH;   11850;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,12;[deg/s]
AVERAGE LONG ACCEL AT END;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,12;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,9;-0,02;-0,01;9,74;-0,03;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;0,53;0,42;-1,55;0,22;0,15;0,00;19,54
10;13,9;-0,00;-0,02;9,81;-0,03;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,09;-1,55;0,12;0,15;0,00;19,54
20;13,9;0,08;0,05;9,78;0,31;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,11;-1,56;0,14;0,15;0,00;19,55
30;13,9;0,02;0,06;9,74;0,08;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,03;-1,55;0,23;0,16;0,00;19,56
40;13,9;-0,04;0,01;9,77;0,13;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,11;-1,55;0,16;0,16;0,00;19,56
50;14,0;-0,01;0,11;9,77;0,03;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,11;-1,55;0,11;0,15;0,00;19,56
60;13,9;-0,07;0,01;9,78;-0,03;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,20;-1,55;0,13;0,15;0,00;19,57
70;13,9;0,03;-0,03;9,85;0,19;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,18;-1,56;0,08;0,14;0,00;19,57
80;14,0;0,11;0,11;9,80;0,26;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,13;-1,55;0,17;0,15;0,00;19,58
90;13,9;0,01;0,07;9,74;0,33;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,19;-1,55;0,26;0,16;0,00;19,59
100;13,9;-0,06;-0,01;9,79;0,10;0,22;0;0;0;216,2;4,5113626;51,9444122;12,10;14,07;-5,00;0;3;9999;9999;1,55;0,21;-1,55;0,15;0,16;0,00;19,59
