FILE NAME;019_22306_131120_105845.CSV
HASHCODE;C7861FC2A038CFE102D2ACA7AC620916B80FB849FA783C3334F008C61AC9D866
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;10:58:46;GMT+00:00
END OF MEASUREMENT;13/11/2020;10:58:58;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   30490;[mS]
TIME GPS SPEED WENT OVER 2KPH;   11700;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   25100;[mS]
PEAK GPS SPEED; 51,66;[kph]
TIME OF PEAK GPS SPEED;   21100;[mS]
PEAK SPEED; 53,15;[kph]
TIME OF PEAK SPEED;   21480;[mS]
TIME ACC WENT OVER 1m/s/s;    4990;[mS]
PEAK ACC;  8,78;[m/s/s]
TIME OF PEAK ACC;   22150;[mS]
PEAK PITCH;   8,33;[deg]
TIME OF PEAK PITCH;   19070;[mS]
PEAK SLIP; 110,75;[deg]
TIME OF PEAK SLIP;   14130;[mS]
AVERAGE LONG ACCEL AT START; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,41;[deg/s]
AVERAGE LONG ACCEL AT END; -0,01;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,38;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,9;-0,09;0,03;9,80;0,53;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,03;0,35;0,08;-0,01;0,02;0,00;0,15
10;13,9;0,03;0,14;9,82;0,53;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,09;0,20;0,09;-0,04;0,01;0,00;0,14
20;13,9;-0,10;0,02;9,82;0,45;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,09;0,51;0,09;0,08;0,02;0,00;0,15
30;13,9;-0,03;-0,01;9,88;-0,17;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,09;0,39;0,09;-0,05;0,01;0,00;0,15
40;13,9;0,06;0,14;9,82;0,40;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,08;0,28;0,08;0,02;0,01;0,00;0,15
50;13,9;-0,07;0,08;9,77;0,31;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,08;0,39;0,08;0,12;0,02;0,00;0,15
60;13,9;-0,11;0,01;9,83;0,28;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,08;0,40;0,08;-0,02;0,02;0,00;0,15
70;14,0;0,04;0,12;9,78;0,39;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,08;0,36;0,08;-0,06;0,01;0,00;0,15
80;13,9;-0,04;0,06;9,77;0,71;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,08;0,40;0,08;0,09;0,02;0,00;0,15
90;13,9;-0,04;0,01;9,83;0,76;0,14;0;0;0;242,2;4,5115051;51,9443817;1,32;2,28;-2,37;1;5;1,5;3,0;0,08;0,40;0,08;0,02;0,02;0,00;0,15
100;13,9;0,06;0,16;9,81;0,13;0,04;0;0;0;242,2;4,5115047;51,9443817;1,29;2,28;-2,38;1;5;1,5;3,1;0,08;0,37;0,08;0,02;0,02;0,00;0,15
