FILE NAME;020_22306_131120_110011.CSV
HASHCODE;F64199E9D372E20052C59BA4B8EF232346ABD5AA1DFC4592C7828D2E4D72BF43
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;11:00:11;GMT+00:00
END OF MEASUREMENT;13/11/2020;11:00:38;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   27150;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8260;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   21660;[mS]
PEAK GPS SPEED; 51,12;[kph]
TIME OF PEAK GPS SPEED;   17660;[mS]
PEAK SPEED; 50,97;[kph]
TIME OF PEAK SPEED;   17280;[mS]
TIME ACC WENT OVER 1m/s/s;   15320;[mS]
PEAK ACC;  8,15;[m/s/s]
TIME OF PEAK ACC;   20240;[mS]
PEAK PITCH;   2,55;[deg]
TIME OF PEAK PITCH;   18870;[mS]
PEAK SLIP;  14,88;[deg]
TIME OF PEAK SLIP;   12870;[mS]
AVERAGE LONG ACCEL AT START;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,20;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,38;[deg/s]
AVERAGE LONG ACCEL AT END;  0,03;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;13,9;0,10;0,24;9,76;0,22;0,32;0;0;0;161,7;4,5115633;51,9443779;5,27;1,90;-1,35;1;4;1,2;2,2;0,07;0,37;-0,37;-0,06;-0,00;0,00;0,31
10;13,9;0,01;0,24;9,76;0,22;0,32;0;0;0;161,7;4,5115633;51,9443779;5,27;1,90;-1,35;1;4;1,2;2,2;0,37;1,39;-0,37;0,11;0,01;0,00;0,31
20;13,9;0,01;0,18;9,78;0,24;0,32;0;0;0;161,7;4,5115633;51,9443779;5,27;1,90;-1,35;1;4;1,2;2,2;0,37;1,39;-0,37;0,01;0,01;0,00;0,31
30;13,9;0,03;0,29;9,78;0,19;0,32;0;0;0;161,7;4,5115633;51,9443779;5,27;1,90;-1,35;1;4;1,2;2,2;0,37;1,27;-0,37;0,01;0,01;0,00;0,31
40;13,9;-0,06;0,16;9,81;0,24;0,32;0;0;0;161,7;4,5115633;51,9443779;5,27;1,90;-1,35;1;4;1,2;2,2;0,37;1,37;-0,38;0,03;0,01;0,00;0,31
50;13,9;0,04;0,10;9,86;0,65;0,32;0;0;0;161,7;4,5115633;51,9443779;5,27;1,90;-1,35;1;4;1,2;2,2;0,37;1,28;-0,38;-0,06;0,00;0,00;0,31
60;13,9;0,11;0,28;9,82;0,33;0,36;0;0;0;166,7;4,5115633;51,9443779;5,27;1,90;-1,27;1;4;1,1;2,2;0,37;1,17;-0,37;0,04;0,01;0,00;0,31
70;13,9;-0,09;0,15;9,78;0,34;0,36;0;0;0;166,7;4,5115633;51,9443779;5,27;1,90;-1,27;1;4;1,1;2,2;0,37;1,23;-0,37;0,12;0,02;0,00;0,32
80;13,9;-0,00;0,15;9,83;0,50;0,36;0;0;0;166,7;4,5115633;51,9443779;5,27;1,90;-1,27;1;4;1,1;2,2;0,37;1,19;-0,38;-0,08;0,01;0,00;0,31
90;13,9;0,10;0,28;9,82;0,43;0,36;0;0;0;166,7;4,5115633;51,9443779;5,27;1,90;-1,27;1;4;1,1;2,2;0,37;1,15;-0,37;0,00;0,01;0,00;0,31
100;13,9;-0,01;0,19;9,76;0,60;0,36;0;0;0;166,7;4,5115633;51,9443779;5,27;1,90;-1,27;1;4;1,1;2,2;0,37;1,20;-0,37;0,13;0,02;0,00;0,32
