FILE NAME;021_22306_131120_110127.CSV
HASHCODE;0C8CA9C1CECA94A91988D23436EBF65C3AD0B1D7D85671B6A60A8B181AF27EB6
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;11:01:27;GMT+00:00
END OF MEASUREMENT;13/11/2020;11:01:53;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   25210;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7630;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   20830;[mS]
PEAK GPS SPEED; 51,73;[kph]
TIME OF PEAK GPS SPEED;   17030;[mS]
PEAK SPEED; 52,85;[kph]
TIME OF PEAK SPEED;   16740;[mS]
TIME ACC WENT OVER 1m/s/s;   11810;[mS]
PEAK ACC;  9,07;[m/s/s]
TIME OF PEAK ACC;   17630;[mS]
PEAK PITCH;   3,34;[deg]
TIME OF PEAK PITCH;   19650;[mS]
PEAK SLIP; 146,76;[deg]
TIME OF PEAK SLIP;   10550;[mS]
AVERAGE LONG ACCEL AT START; -0,01;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,21;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,38;[deg/s]
AVERAGE LONG ACCEL AT END; -0,02;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,42;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,1;-0,06;0,20;9,79;-0,06;0,11;0;0;0;133,2;4,5115604;51,9444122;5,10;5,70;-7,35;1;5;1,5;2,4;0,37;1,18;1,01;-0,69;-0,65;0,00;0,00
0;14,1;0,02;0,29;9,82;-0,06;0,11;0;0;0;133,2;4,5115604;51,9444122;5,10;5,70;-7,35;1;5;1,5;2,4;1,00;1,16;1,00;-0,69;-0,65;0,00;0,00
10;14,0;-0,04;0,23;9,83;0,13;0,11;0;0;0;133,2;4,5115604;51,9444122;5,10;5,70;-7,35;1;5;1,5;2,4;1,00;1,41;0,99;-0,61;-0,65;0,00;0,00
20;14,0;-0,01;0,14;9,79;0,34;0,11;0;0;0;133,2;4,5115614;51,9444122;5,16;5,70;-7,35;1;5;1,5;2,4;0,99;1,39;0,99;-0,66;-0,65;0,00;0,00
30;14,0;0,04;0,27;9,74;0,37;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,99;1,24;0,99;-0,64;-0,65;0,00;0,00
40;14,0;-0,09;0,19;9,79;0,29;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,99;1,31;0,98;-0,59;-0,64;0,00;0,00
50;14,0;-0,01;0,12;9,83;0,22;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,99;1,27;0,98;-0,71;-0,65;0,00;0,00
60;14,0;0,09;0,28;9,78;0,59;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,99;1,19;0,98;-0,63;-0,65;0,00;0,00
70;14,0;-0,11;0,14;9,81;0,52;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,99;1,24;0,98;-0,53;-0,64;0,00;0,00
80;14,0;-0,03;0,12;9,85;0,15;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,98;1,20;0,97;-0,73;-0,65;0,00;0,00
90;14,0;0,06;0,29;9,86;0,30;0,18;0;0;0;235,6;4,5115614;51,9444122;5,16;5,70;-7,46;1;5;1,5;2,4;0,98;1,15;0,97;-0,65;-0,65;0,00;0,00
