FILE NAME;022_22306_131120_110305.CSV
HASHCODE;3BEFE756BBC2256B8133C14FC44EF9558BBC6FF969328C5F23D465A301150FEA
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;11:03:05;GMT+00:00
END OF MEASUREMENT;13/11/2020;11:03:35;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   30210;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7060;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   19850;[mS]
PEAK GPS SPEED; 52,24;[kph]
TIME OF PEAK GPS SPEED;   15660;[mS]
PEAK SPEED; 52,42;[kph]
TIME OF PEAK SPEED;   15150;[mS]
TIME ACC WENT OVER 1m/s/s;   13290;[mS]
PEAK ACC;  8,53;[m/s/s]
TIME OF PEAK ACC;   17860;[mS]
PEAK PITCH;   2,89;[deg]
TIME OF PEAK PITCH;   18670;[mS]
PEAK SLIP;  33,25;[deg]
TIME OF PEAK SLIP;   10660;[mS]
AVERAGE LONG ACCEL AT START; -0,02;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,22;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,38;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,62;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,30;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,0;-0,04;0,16;9,81;0,82;0,76;0;0;0;239,1;4,5115623;51,9444427;5,24;8,74;-4,99;1;5;2,1;2,7;0,88;1,25;0,88;-0,09;-0,24;0,00;0,00
0;14,0;0,05;0,19;9,77;0,54;0,76;0;0;0;239,1;4,5115623;51,9444427;5,24;8,74;-4,99;1;5;2,1;2,7;0,88;0,93;0,88;-0,21;-0,24;0,00;0,00
10;14,0;0,02;0,29;9,82;0,39;0,76;0;0;0;239,1;4,5115623;51,9444427;5,24;8,74;-4,99;1;5;2,1;2,7;0,88;1,02;0,88;-0,12;-0,23;0,00;0,00
20;14,0;-0,06;0,17;9,80;0,49;0,76;0;0;0;239,1;4,5115623;51,9444427;5,24;8,74;-4,99;1;5;2,1;2,7;0,88;1,23;0,87;-0,15;-0,22;0,00;0,00
30;14,0;0,02;0,23;9,76;0,34;0,76;0;0;0;239,1;4,5115623;51,9444427;5,24;8,74;-4,99;1;5;2,1;2,7;0,88;1,17;0,87;-0,23;-0,22;0,00;0,00
40;14,0;-0,01;0,30;9,79;0,46;0,76;0;0;0;239,1;4,5115643;51,9444427;5,36;8,74;-4,99;1;5;2,1;2,7;0,87;1,20;0,87;-0,15;-0,21;0,00;0,00
50;14,0;-0,10;0,15;9,79;-0,00;0,58;0;0;0;237,4;4,5115643;51,9444427;5,36;8,74;-5,30;1;5;2,1;2,7;0,87;1,30;0,87;-0,18;-0,21;0,00;0,00
60;14,0;-0,03;0,16;9,81;0,02;0,58;0;0;0;237,4;4,5115643;51,9444427;5,36;8,74;-5,30;1;5;2,1;2,7;0,87;1,24;0,86;-0,27;-0,22;0,00;0,00
70;14,0;0,03;0,29;9,83;0,25;0,58;0;0;0;237,4;4,5115643;51,9444427;5,36;8,74;-5,30;1;5;2,1;2,7;0,87;1,20;0,86;-0,20;-0,21;0,00;0,00
80;14,0;-0,06;0,12;9,80;0,06;0,58;0;0;0;237,4;4,5115643;51,9444427;5,36;8,74;-5,30;1;5;2,1;2,7;0,87;1,25;0,85;-0,21;-0,21;0,00;0,00
90;14,1;0,04;0,21;9,74;0,15;0,58;0;0;0;237,4;4,5115643;51,9444427;5,36;8,74;-5,30;1;5;2,1;2,7;0,87;1,20;0,85;-0,29;-0,22;0,00;0,00
