FILE NAME;023_22306_131120_110456.CSV
HASHCODE;2C2F34DC8D57C34AA42EED2BCD3A3CC4A598240B6A2406BC5EC9BBB4B29A34D5
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;11:04:56;GMT+00:00
END OF MEASUREMENT;13/11/2020;11:05:22;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   26280;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8110;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   20700;[mS]
PEAK GPS SPEED; 51,73;[kph]
TIME OF PEAK GPS SPEED;   17500;[mS]
PEAK SPEED; 51,57;[kph]
TIME OF PEAK SPEED;   13760;[mS]
TIME ACC WENT OVER 1m/s/s;   14200;[mS]
PEAK ACC;  8,84;[m/s/s]
TIME OF PEAK ACC;   18410;[mS]
PEAK PITCH;   1,91;[deg]
TIME OF PEAK PITCH;   18510;[mS]
PEAK SLIP;  90,11;[deg]
TIME OF PEAK SLIP;    9710;[mS]
AVERAGE LONG ACCEL AT START; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,22;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,08;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,33;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,0;0,01;0,27;9,83;0,62;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,75;1,29;-0,09;-0,03;-0,04;0,00;0,41
0;14,0;-0,10;0,18;9,83;0,62;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,56;-0,08;0,03;-0,04;0,00;0,41
10;14,0;-0,04;0,10;9,86;0,08;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,30;-0,08;-0,07;-0,04;0,00;0,41
20;14,0;0,06;0,30;9,79;0,32;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,07;-0,08;-0,02;-0,04;0,00;0,41
30;14,0;-0,12;0,26;9,83;0,50;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,23;-0,09;0,09;-0,02;0,00;0,41
40;14,0;-0,08;0,15;9,85;0,55;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,28;-0,08;-0,09;-0,03;0,00;0,41
50;14,0;0,06;0,28;9,75;0,10;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,22;-0,08;-0,06;-0,03;0,00;0,40
60;14,0;-0,05;0,23;9,81;0,37;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,27;-0,08;0,09;-0,02;0,00;0,41
70;14,0;-0,01;0,20;9,79;0,45;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,28;-0,08;-0,02;-0,02;0,00;0,41
80;14,1;0,03;0,32;9,76;0,51;0,47;0;0;0;230,7;4,5115533;51,9444084;4,60;5,32;-7,07;1;5;1,2;2,1;0,08;1,27;-0,08;0,02;-0,02;0,00;0,41
90;14,0;-0,08;0,21;9,79;0,63;0,47;0;0;0;230,7;4,5115519;51,9444084;4,51;5,32;-7,07;1;5;1,2;2,1;0,08;1,33;-0,08;0,06;-0,01;0,00;0,41
