FILE NAME;024_22306_131120_122446.CSV
HASHCODE;7552F55BC8C7B979FCC5344AE80AE285BB525FEBFBC8935BA32C3838A774722E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:24:46;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:25:08;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   22200;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7430;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   18620;[mS]
PEAK GPS SPEED; 49,61;[kph]
TIME OF PEAK GPS SPEED;   15630;[mS]
PEAK SPEED; 50,76;[kph]
TIME OF PEAK SPEED;   15160;[mS]
TIME ACC WENT OVER 1m/s/s;   12280;[mS]
PEAK ACC; 14,02;[m/s/s]
TIME OF PEAK ACC;   15790;[mS]
PEAK PITCH;   4,49;[deg]
TIME OF PEAK PITCH;   17860;[mS]
PEAK SLIP; 172,20;[deg]
TIME OF PEAK SLIP;   10030;[mS]
AVERAGE LONG ACCEL AT START;  0,08;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,09;[deg/s]
AVERAGE LONG ACCEL AT END; -0,18;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,33;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,10;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,4;0,10;-0,05;9,74;0,16;0,11;0;0;0;329,8;4,5117726;51,9444771;1221,36;-58,55;13,61;1;6;0,8;1,6;0,64;0,24;0,56;0,13;0,02;0,00;0,11
10;14,5;0,01;-0,10;9,89;0,02;0,11;0;0;0;329,8;4,5117726;51,9444771;1221,33;-58,55;13,61;1;6;0,8;1,6;0,56;0,31;0,56;0,05;0,02;0,00;0,11
20;14,4;-0,00;-0,15;9,84;0,09;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,45;0,56;-0,05;0,02;0,00;0,11
30;14,3;0,16;-0,09;9,82;-0,14;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,60;0,56;-0,06;0,01;0,00;0,11
40;14,4;0,10;-0,07;9,73;-0,19;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,58;0,56;0,11;0,02;0,00;0,11
50;14,5;0,11;-0,05;9,81;0,27;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,55;0,56;0,05;0,02;0,00;0,12
60;14,4;-0,00;-0,05;9,80;-0,23;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,51;0,56;0,06;0,03;0,00;0,12
70;14,3;0,12;-0,01;9,80;0,13;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,48;0,55;-0,06;0,02;0,00;0,12
80;14,4;0,06;-0,06;9,79;0,26;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,43;0,55;0,05;0,02;0,00;0,12
90;14,5;-0,00;-0,09;9,86;0,04;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,42;0,56;-0,02;0,02;0,00;0,12
100;14,4;0,01;-0,10;9,84;0,16;0,07;0;0;0;166,4;4,5117726;51,9444771;1221,33;-58,55;13,65;1;6;0,8;1,6;0,56;0,43;0,56;-0,08;0,01;0,00;0,11
