FILE NAME;025_22306_131120_122533.CSV
HASHCODE;AFBC620071F1ADDC3340FFF07950CDA324064BDE12A659933A8670B65DF47639
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:25:33;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:26:01;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   27730;[mS]
TIME GPS SPEED WENT OVER 2KPH;   11090;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   22310;[mS]
PEAK GPS SPEED; 51,16;[kph]
TIME OF PEAK GPS SPEED;   18910;[mS]
PEAK SPEED; 50,17;[kph]
TIME OF PEAK SPEED;   19630;[mS]
TIME ACC WENT OVER 1m/s/s;   16940;[mS]
PEAK ACC; 10,39;[m/s/s]
TIME OF PEAK ACC;   20460;[mS]
PEAK PITCH;   6,13;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 176,77;[deg]
TIME OF PEAK SLIP;   13110;[mS]
AVERAGE LONG ACCEL AT START;  0,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,06;[deg/s]
AVERAGE LONG ACCEL AT END; -0,19;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,38;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,3;0,06;0,05;9,85;0,04;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;0,56;0,32;6,14;-2,53;-2,62;0,00;0,00
10;14,3;-0,06;0,10;9,79;0,06;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,13;0,31;6,13;-2,53;-2,61;0,00;0,00
20;14,2;0,11;0,09;9,84;0,33;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,12;0,45;6,11;-2,65;-2,61;0,00;0,00
30;14,3;0,02;0,02;9,76;-0,19;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,11;0,48;6,10;-2,48;-2,60;0,00;0,00
40;14,3;-0,06;-0,01;9,86;0,00;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,11;0,39;6,08;-2,57;-2,60;0,00;0,00
50;14,3;-0,06;-0,03;9,79;-0,03;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,10;0,30;6,07;-2,65;-2,60;0,00;0,00
60;14,2;0,15;-0,03;9,80;0,10;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,09;0,22;6,05;-2,63;-2,60;0,00;0,00
70;14,3;0,04;0,03;9,70;0,15;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,08;0,16;6,04;-2,42;-2,59;0,00;0,00
80;14,3;-0,03;0,02;9,86;0,10;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,08;0,16;6,03;-2,53;-2,58;0,00;0,00
90;14,2;-0,02;0,08;9,82;0,20;1,01;0;0;0;180,3;4,5118222;51,9444771;1224,79;-58,55;21,55;1;6;2,4;2,0;6,07;0,16;6,01;-2,59;-2,58;0,00;0,00
100;14,2;0,13;0,07;9,82;0,05;1,12;0;0;0;183,9;4,5118222;51,9444771;1224,76;-58,55;21,72;1;6;2,4;2,0;6,06;0,19;6,00;-2,58;-2,58;0,00;0,00
