FILE NAME;026_22306_131120_122626.CSV
HASHCODE;AA2C7BFE4E624A45A85984EBD94454A9362FD0F5B5433FEFE4C72FD4F521D0F9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:26:26;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:26:49;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   23100;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7220;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17840;[mS]
PEAK GPS SPEED; 50,94;[kph]
TIME OF PEAK GPS SPEED;   14640;[mS]
PEAK SPEED; 51,74;[kph]
TIME OF PEAK SPEED;   14140;[mS]
TIME ACC WENT OVER 1m/s/s;   14150;[mS]
PEAK ACC; 13,26;[m/s/s]
TIME OF PEAK ACC;   15180;[mS]
PEAK PITCH;   5,15;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 164,75;[deg]
TIME OF PEAK SLIP;    9420;[mS]
AVERAGE LONG ACCEL AT START;  0,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,09;[deg/s]
AVERAGE LONG ACCEL AT END; -0,20;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,32;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,08;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,4;0,11;0,02;9,72;-0,02;0,97;0;0;0;203,5;4,5118527;51,9444542;1226,86;-61,21;12,41;1;6;2,0;1,9;5,46;0,22;5,16;-1,82;-1,82;0,00;0,00
0;14,5;0,06;0,01;9,73;-0,00;0,97;0;0;0;203,5;4,5118527;51,9444542;1226,86;-61,21;12,41;1;6;2,0;1,9;5,15;0,14;5,15;-1,71;-1,81;0,00;0,00
10;14,5;-0,09;0,02;9,78;-0,01;0,97;0;0;0;203,5;4,5118527;51,9444542;1226,86;-61,21;12,41;1;6;2,0;1,9;5,14;0,11;5,14;-1,76;-1,80;0,00;0,00
20;14,4;0,14;0,09;9,82;0,25;0,97;0;0;0;203,5;4,5118532;51,9444542;1226,89;-61,21;12,41;1;6;2,0;1,9;5,14;0,12;5,13;-1,91;-1,81;0,00;0,00
30;14,4;0,08;0,06;9,79;0,10;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,13;0,23;5,12;-1,67;-1,80;0,00;0,00
40;14,5;0,04;0,00;9,80;-0,27;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,13;0,25;5,11;-1,73;-1,79;0,00;0,00
50;14,5;-0,11;-0,06;9,87;0,20;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,12;0,22;5,10;-1,89;-1,80;0,00;0,00
60;14,4;0,20;0,01;9,87;0,02;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,12;0,13;5,09;-2,03;-1,83;0,00;0,00
70;14,5;0,11;0,02;9,77;0,08;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,11;0,13;5,08;-1,72;-1,81;0,00;0,00
80;14,5;0,05;0,02;9,92;0,06;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,11;0,13;5,07;-1,81;-1,81;0,00;0,00
90;14,4;0,04;0,06;9,85;0,01;0,68;0;0;0;226,7;4,5118532;51,9444542;1226,89;-61,21;12,13;1;6;2,0;1,9;5,10;0,13;5,06;-1,87;-1,82;0,00;0,00
