FILE NAME;027_22306_131120_122714.CSV
HASHCODE;F1743CBD38228E93D61B286DDEC544A7C3F9BF139A8779D7586D3CDB7339CF5B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:27:15;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:27:38;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   23150;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6660;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   19250;[mS]
PEAK GPS SPEED; 54,32;[kph]
TIME OF PEAK GPS SPEED;   16070;[mS]
PEAK SPEED; 55,84;[kph]
TIME OF PEAK SPEED;   15660;[mS]
TIME ACC WENT OVER 1m/s/s;   12530;[mS]
PEAK ACC; 10,86;[m/s/s]
TIME OF PEAK ACC;   16700;[mS]
PEAK PITCH;   4,97;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 164,40;[deg]
TIME OF PEAK SLIP;    8860;[mS]
AVERAGE LONG ACCEL AT START;  0,06;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,09;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END; -0,26;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,21;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,3;0,20;0,09;9,74;-0,14;0,50;0;0;0;221,6;4,5118217;51,9444885;1224,73;-57,41;20,51;1;6;1,9;1,9;4,73;0,24;4,98;-2,88;-2,86;0,00;0,00
0;14,4;0,07;0,10;9,74;-0,14;0,50;0;0;0;221,6;4,5118217;51,9444885;1224,73;-57,41;20,51;1;6;1,9;1,9;4,97;0,54;4,97;-2,70;-2,84;0,00;0,00
10;14,4;0,07;0,10;9,84;-0,01;0,50;0;0;0;221,6;4,5118217;51,9444885;1224,73;-57,41;20,51;1;6;1,9;1,9;4,96;0,56;4,96;-2,82;-2,84;0,00;0,00
20;14,3;0,05;0,17;9,83;0,10;0,50;0;0;0;221,6;4,5118217;51,9444885;1224,73;-57,41;20,51;1;6;1,9;1,9;4,96;0,57;4,95;-2,82;-2,84;0,00;0,00
30;14,3;0,17;0,17;9,80;0,38;0,50;0;0;0;221,6;4,5118217;51,9444885;1224,73;-57,41;20,51;1;6;1,9;1,9;4,95;0,68;4,94;-2,85;-2,84;0,00;0,00
40;14,4;0,04;0,08;9,77;0,12;0,50;0;0;0;221,6;4,5118222;51,9444885;1224,79;-57,41;20,51;1;6;1,9;1,9;4,95;0,74;4,93;-2,72;-2,83;0,00;0,00
50;14,4;-0,06;0,04;9,88;0,06;0,50;0;0;0;221,9;4,5118222;51,9444885;1224,79;-57,41;20,35;1;6;1,9;1,9;4,94;0,70;4,92;-2,85;-2,83;0,00;0,00
60;14,3;0,03;0,07;9,84;0,13;0,50;0;0;0;221,9;4,5118222;51,9444885;1224,79;-57,41;20,35;1;6;1,9;1,9;4,94;0,63;4,91;-2,95;-2,84;0,00;0,00
70;14,3;0,12;0,09;9,81;0,26;0,50;0;0;0;221,9;4,5118222;51,9444885;1224,79;-57,41;20,35;1;6;1,9;1,9;4,94;0,61;4,90;-2,86;-2,84;0,00;0,00
80;14,4;0,08;0,14;9,74;0,18;0,50;0;0;0;221,9;4,5118222;51,9444885;1224,79;-57,41;20,35;1;6;1,9;1,9;4,93;0,60;4,90;-2,76;-2,84;0,00;0,00
90;14,4;-0,10;0,13;9,81;-0,03;0,50;0;0;0;221,9;4,5118222;51,9444885;1224,79;-57,41;20,35;1;6;1,9;1,9;4,93;0,62;4,89;-2,79;-2,83;0,00;0,00
