FILE NAME;028_22306_131120_122808.CSV
HASHCODE;A05D75C4D651BBBA3ED648A573464656F20150B09BC5AC9F733F7DFE90C2BD15
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:28:09;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:28:16;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;    6710;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  1,15;[kph]
TIME OF PEAK GPS SPEED;     990;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,97;[m/s/s]
TIME OF PEAK ACC;    1630;[mS]
PEAK PITCH;   2,38;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  0,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,04;[deg/s]
AVERAGE LONG ACCEL AT END;  0,03;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,5;0,05;0,07;9,74;0,04;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;4,52;0,54;2,39;-1,35;-1,35;0,00;0,00
10;14,5;-0,07;0,00;9,83;-0,19;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,38;0,42;2,38;-1,29;-1,34;0,00;0,00
20;14,4;0,16;0,04;9,81;0,03;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,38;0,23;2,38;-1,41;-1,35;0,00;0,00
30;14,4;0,10;0,08;9,70;0,07;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,38;0,23;2,37;-1,17;-1,33;0,00;0,00
40;14,5;0,08;0,06;9,77;-0,00;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,37;0,30;2,36;-1,23;-1,32;0,00;0,00
50;14,5;-0,02;0,07;9,86;-0,35;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,37;0,31;2,36;-1,25;-1,31;0,00;0,00
60;14,4;0,08;0,08;9,82;-0,10;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,37;0,33;2,35;-1,35;-1,32;0,00;0,00
70;14,5;0,02;0,03;9,82;0,05;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,36;0,35;2,34;-1,25;-1,31;0,00;0,00
80;14,5;0,05;-0,10;9,90;-0,07;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,36;0,33;2,34;-1,29;-1,31;0,00;0,00
90;14,5;-0,05;-0,11;9,92;-0,01;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,36;0,23;2,33;-1,26;-1,30;0,00;0,00
100;14,4;0,13;-0,06;9,81;-0,06;1,37;0;0;0;230,0;4,5118203;51,9445267;1224,64;-53,22;22,28;1;6;1,7;1,8;2,35;0,14;2,32;-1,36;-1,31;0,00;0,00
