FILE NAME;029_22306_131120_122830.CSV
HASHCODE;054481B7E10F14ABB6575A29BBD41CEFD85B1D06D0F33692CA3C492889E3304B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:28:30;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:29:14;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   43680;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4930;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   37530;[mS]
PEAK GPS SPEED; 52,16;[kph]
TIME OF PEAK GPS SPEED;   35130;[mS]
PEAK SPEED; 51,84;[kph]
TIME OF PEAK SPEED;   33950;[mS]
TIME ACC WENT OVER 1m/s/s;   12310;[mS]
PEAK ACC; 11,29;[m/s/s]
TIME OF PEAK ACC;   34960;[mS]
PEAK PITCH;   4,48;[deg]
TIME OF PEAK PITCH;   36770;[mS]
PEAK SLIP; 173,63;[deg]
TIME OF PEAK SLIP;   28140;[mS]
AVERAGE LONG ACCEL AT START;  0,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END; -0,22;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,27;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,08;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,4;0,01;0,10;9,85;-0,12;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;2,12;0,14;0,19;-0,31;-0,36;0,00;0,00
10;14,5;0,03;0,02;9,80;0,03;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,59;0,19;-0,37;-0,36;0,00;0,00
20;14,5;-0,08;-0,05;9,83;-0,10;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,37;0,19;-0,35;-0,36;0,00;0,00
30;14,4;0,02;0,01;9,85;0,10;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,14;0,19;-0,45;-0,37;0,00;0,00
40;14,4;0,06;0,05;9,75;0,10;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,13;0,19;-0,36;-0,37;0,00;0,00
50;14,5;0,03;0,06;9,75;0,23;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,16;0,19;-0,32;-0,36;0,00;0,00
60;14,5;-0,11;0,08;9,83;0,07;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,20;0,19;-0,34;-0,36;0,00;0,00
70;14,4;0,09;0,12;9,86;0,32;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,24;0,19;-0,48;-0,37;0,00;0,00
80;14,4;-0,01;0,03;9,82;0,17;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,30;0,20;-0,28;-0,36;0,00;0,00
90;14,5;0,01;-0,01;9,78;0,04;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,28;0,20;-0,38;-0,37;0,00;0,00
100;14,4;-0,12;-0,05;9,85;-0,26;0,25;0;0;0;208,3;4,5118408;51,9445038;1226,04;-55,88;20,62;1;5;0,9;1,7;0,19;0,25;0,20;-0,36;-0,37;0,00;0,00
