FILE NAME;030_22306_131120_125440.CSV
HASHCODE;9044D83AA68A265127BC26C85A9B48921DC272A83E4527F94D647EBFF1B2C374
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:54:41;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:55:03;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   22440;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5950;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17540;[mS]
PEAK GPS SPEED; 53,06;[kph]
TIME OF PEAK GPS SPEED;   14350;[mS]
PEAK SPEED; 53,95;[kph]
TIME OF PEAK SPEED;   13990;[mS]
TIME ACC WENT OVER 1m/s/s;   12000;[mS]
PEAK ACC; 10,51;[m/s/s]
TIME OF PEAK ACC;   14640;[mS]
PEAK PITCH;   2,70;[deg]
TIME OF PEAK PITCH;   10010;[mS]
PEAK SLIP; 178,53;[deg]
TIME OF PEAK SLIP;    9360;[mS]
AVERAGE LONG ACCEL AT START;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,35;[deg/s]
AVERAGE LONG ACCEL AT END; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,35;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,0;-0,14;-0,14;9,80;0,55;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,17;0,71;0,17;-0,06;-0,00;0,00;0,31
10;14,1;0,03;-0,16;9,73;0,57;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,17;0,77;0,18;-0,13;-0,01;0,00;0,30
20;14,1;-0,04;-0,20;9,75;0,38;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;0,82;0,18;0,03;-0,01;0,00;0,30
30;14,1;0,02;-0,16;9,76;0,24;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;0,91;0,18;-0,03;-0,01;0,00;0,30
40;14,0;0,05;-0,13;9,75;0,22;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;0,91;0,18;0,02;-0,01;0,00;0,30
50;14,2;0,03;-0,18;9,79;0,51;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;0,89;0,18;0,05;-0,00;0,00;0,31
60;14,2;-0,08;-0,27;9,83;0,40;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;0,91;0,18;0,03;0,00;0,00;0,31
70;14,1;0,01;-0,22;9,87;0,49;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;0,99;0,18;-0,07;-0,01;0,00;0,30
80;14,2;0,07;-0,17;9,86;0,33;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;1,02;0,18;0,01;-0,00;0,00;0,30
90;14,3;0,03;-0,15;9,79;0,38;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;1,02;0,18;0,08;0,01;0,00;0,31
100;14,3;-0,14;-0,14;9,80;0,26;0,36;0;0;0;146,0;4,5118871;51,9445190;1213,18;271,44;12,17;1;5;1,4;2,7;0,18;1,01;0,18;0,04;0,01;0,00;0,31
