FILE NAME;031_22306_131120_125525.CSV
HASHCODE;E23846C9EC180D98253573A04C45D5AD44B9EB9582F84A313E9F9919DCFAE25A
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:55:25;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:55:47;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   22060;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6810;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   20410;[mS]
PEAK GPS SPEED; 53,14;[kph]
TIME OF PEAK GPS SPEED;   13600;[mS]
PEAK SPEED; 53,02;[kph]
TIME OF PEAK SPEED;   13960;[mS]
TIME ACC WENT OVER 1m/s/s;   11890;[mS]
PEAK ACC; 13,61;[m/s/s]
TIME OF PEAK ACC;   14530;[mS]
PEAK PITCH;   7,61;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 157,17;[deg]
TIME OF PEAK SLIP;    8220;[mS]
AVERAGE LONG ACCEL AT START;  0,06;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,33;[deg/s]
AVERAGE LONG ACCEL AT END; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,20;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,33;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,1;0,11;0,18;9,81;0,00;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;0,18;0,98;7,63;-3,15;-3,18;0,00;0,00
10;14,3;0,03;0,00;9,91;0,25;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,61;1,05;7,61;-3,09;-3,17;0,00;0,00
20;14,2;0,06;0,06;9,84;0,50;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,60;0,54;7,59;-3,18;-3,17;0,00;0,00
30;14,3;0,14;0,10;9,81;0,12;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,59;0,48;7,58;-3,14;-3,17;0,00;0,00
40;14,4;0,06;0,11;9,82;0,38;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,58;0,51;7,56;-3,05;-3,16;0,00;0,00
50;14,3;-0,04;0,08;9,85;0,21;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,58;0,54;7,54;-3,12;-3,15;0,00;0,00
60;14,3;0,05;0,15;9,79;0,15;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,57;0,53;7,53;-3,23;-3,16;0,00;0,00
70;14,3;0,08;0,10;9,80;0,34;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,56;0,58;7,51;-3,14;-3,16;0,00;0,00
80;14,4;0,01;0,06;9,83;0,33;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,55;0,58;7,50;-3,09;-3,15;0,00;0,00
90;14,3;-0,01;0,01;9,85;0,15;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,54;0,56;7,48;-3,17;-3,15;0,00;0,00
100;14,3;0,19;0,06;9,81;0,61;0,58;0;0;0;240,1;4,5118380;51,9444695;1209,84;265,74;6,43;1;5;2,6;3,0;7,54;0,51;7,46;-3,19;-3,16;0,00;0,00
