FILE NAME;032_22306_131120_125609.CSV
HASHCODE;C1A84D87F73A2346E5E9B141F419724AD968FA4C4A5F38C08CE87A0DB4AF6D0B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:56:09;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:56:30;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   20580;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5980;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17380;[mS]
PEAK GPS SPEED; 51,08;[kph]
TIME OF PEAK GPS SPEED;   13980;[mS]
PEAK SPEED; 47,95;[kph]
TIME OF PEAK SPEED;   13910;[mS]
TIME ACC WENT OVER 1m/s/s;   10270;[mS]
PEAK ACC; 12,69;[m/s/s]
TIME OF PEAK ACC;   15110;[mS]
PEAK PITCH;   7,12;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 167,64;[deg]
TIME OF PEAK SLIP;    7700;[mS]
AVERAGE LONG ACCEL AT START;  0,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,39;[deg/s]
AVERAGE LONG ACCEL AT END; -0,15;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,28;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,27;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,4;0,11;0,05;9,81;0,27;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;6,87;0,57;7,14;-1,91;-1,95;0,00;0,00
10;14,3;-0,06;-0,01;9,87;0,52;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,12;0,31;7,12;-1,84;-1,94;0,00;0,00
20;14,3;0,07;0,07;9,81;0,32;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,11;0,14;7,10;-2,01;-1,94;0,00;0,00
30;14,3;0,10;0,08;9,77;0,21;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,10;0,23;7,09;-1,88;-1,94;0,00;0,00
40;14,3;-0,00;0,09;9,78;0,43;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,10;0,30;7,07;-1,84;-1,93;0,00;0,00
50;14,2;-0,04;0,12;9,84;0,62;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,09;0,34;7,06;-1,92;-1,93;0,00;0,00
60;14,2;0,11;0,19;9,81;0,67;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,08;0,40;7,04;-1,96;-1,93;0,00;0,00
70;14,3;0,06;0,10;9,80;0,52;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,07;0,50;7,03;-1,80;-1,92;0,00;0,00
80;14,3;-0,01;0,04;9,83;0,29;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,07;0,52;7,01;-1,85;-1,91;0,00;0,00
90;14,2;0,01;0,00;9,86;0,53;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,06;0,49;7,00;-1,92;-1,91;0,00;0,00
100;14,1;0,19;0,07;9,82;0,60;1,62;0;0;0;217,8;4,5118532;51,9444580;1210,89;264,60;4,87;1;6;2,3;2,9;7,05;0,44;6,98;-1,90;-1,91;0,00;0,00
