FILE NAME;033_22306_131120_125652.CSV
HASHCODE;CD8F0B4E34C41971ED07123E669A3D434D9FA034B1396B10887D8393F2DE290E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:56:52;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:57:13;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   20490;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6660;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   20460;[mS]
PEAK GPS SPEED; 51,48;[kph]
TIME OF PEAK GPS SPEED;   13860;[mS]
PEAK SPEED; 51,29;[kph]
TIME OF PEAK SPEED;   13680;[mS]
TIME ACC WENT OVER 1m/s/s;   11440;[mS]
PEAK ACC; 16,35;[m/s/s]
TIME OF PEAK ACC;   14580;[mS]
PEAK PITCH;   7,37;[deg]
TIME OF PEAK PITCH;      20;[mS]
PEAK SLIP; 161,32;[deg]
TIME OF PEAK SLIP;   10270;[mS]
AVERAGE LONG ACCEL AT START;  0,08;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,11;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,35;[deg/s]
AVERAGE LONG ACCEL AT END; -0,15;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,29;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,2;0,19;0,10;9,83;0,42;0,40;0;0;0;206,4;4,5118470;51,9444618;1210,48;264,98;18,71;1;6;2,2;3,0;6,40;0,38;7,39;-3,64;-3,75;0,00;0,00
10;14,3;-0,04;0,16;7,37;0,11;0,40;0;0;0;206,4;4,5118470;51,9444618;1210,48;264,98;18,71;1;6;2,2;3,0;7,37;0,59;7,37;-3,57;-3,73;0,00;0,00
20;14,2;0,11;0,17;9,82;0,42;0,40;0;0;0;206,4;4,5118470;51,9444618;1210,48;264,98;18,71;1;6;2,2;3,0;7,37;0,76;7,36;-3,79;-3,73;0,00;0,00
30;14,2;0,06;0,11;9,76;0,45;0,40;0;0;0;206,4;4,5118470;51,9444618;1210,48;264,98;18,71;1;6;2,2;3,0;7,36;0,84;7,34;-3,64;-3,72;0,00;0,00
40;14,3;0,04;0,05;9,84;0,34;0,40;0;0;0;206,4;4,5118470;51,9444618;1210,48;264,98;18,71;1;6;2,2;3,0;7,35;0,79;7,33;-3,68;-3,72;0,00;0,00
50;14,3;-0,03;0,07;9,85;0,05;0,36;0;0;0;197,7;4,5118470;51,9444618;1210,45;264,98;18,64;1;6;2,2;3,0;7,34;0,70;7,31;-3,71;-3,72;0,00;0,00
60;14,2;0,23;0,10;9,84;0,25;0,36;0;0;0;197,7;4,5118470;51,9444618;1210,45;264,98;18,64;1;6;2,2;3,0;7,33;0,65;7,29;-3,77;-3,73;0,00;0,00
70;14,3;0,14;0,14;9,76;0,19;0,36;0;0;0;197,7;4,5118470;51,9444618;1210,45;264,98;18,64;1;6;2,2;3,0;7,33;0,64;7,28;-3,51;-3,70;0,00;0,00
80;14,4;0,08;0,15;9,81;0,41;0,36;0;0;0;197,7;4,5118470;51,9444618;1210,45;264,98;18,64;1;6;2,2;3,0;7,32;0,66;7,26;-3,60;-3,69;0,00;0,00
90;14,3;-0,04;0,17;9,82;0,16;0,36;0;0;0;197,7;4,5118470;51,9444618;1210,45;264,98;18,64;1;6;2,2;3,0;7,31;0,69;7,24;-3,66;-3,69;0,00;0,00
100;14,3;0,16;0,17;9,80;0,34;0,36;0;0;0;197,7;4,5118470;51,9444618;1210,45;264,98;18,64;1;6;2,2;3,0;7,30;0,72;7,23;-3,78;-3,70;0,00;0,00
