FILE NAME;034_22306_131120_125746.CSV
HASHCODE;A5307E043864E8193B0A6545657ADC334AB4F29E43852CD108B76CF8F4767812
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;12:57:46;GMT+00:00
END OF MEASUREMENT;13/11/2020;12:58:13;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   26500;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5740;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   20140;[mS]
PEAK GPS SPEED; 55,87;[kph]
TIME OF PEAK GPS SPEED;   13950;[mS]
PEAK SPEED; 59,62;[kph]
TIME OF PEAK SPEED;   14350;[mS]
TIME ACC WENT OVER 1m/s/s;    8820;[mS]
PEAK ACC;  9,38;[m/s/s]
TIME OF PEAK ACC;   18650;[mS]
PEAK PITCH;   2,49;[deg]
TIME OF PEAK PITCH;   19670;[mS]
PEAK SLIP; 157,86;[deg]
TIME OF PEAK SLIP;    7720;[mS]
AVERAGE LONG ACCEL AT START;  0,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -0,15;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,14;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,31;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,3;0,07;-0,07;9,88;0,33;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;6,65;0,66;0,80;-1,29;-1,31;0,00;0,00
10;14,2;0,02;-0,01;9,76;0,08;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,80;0,43;0,80;-1,30;-1,31;0,00;0,00
20;14,3;0,07;0,04;9,79;0,33;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,80;0,23;0,80;-1,35;-1,31;0,00;0,00
30;14,3;-0,05;0,04;9,81;0,11;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,80;0,07;0,80;-1,30;-1,31;0,00;0,00
40;14,2;0,12;0,07;9,80;0,41;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,80;0,01;0,79;-1,42;-1,32;0,00;0,00
50;14,2;0,06;0,02;9,80;0,09;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,80;0,09;0,79;-1,25;-1,31;0,00;0,00
60;14,3;0,05;0,00;9,83;0,15;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,80;0,10;0,79;-1,30;-1,31;0,00;0,00
70;14,3;-0,04;-0,06;9,84;0,55;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,79;0,09;0,79;-1,32;-1,31;0,00;0,00
80;14,2;0,12;-0,04;9,84;0,43;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,79;0,03;0,79;-1,40;-1,32;0,00;0,00
90;14,3;0,09;0,02;9,78;0,30;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,79;0,00;0,79;-1,24;-1,31;0,00;0,00
100;14,4;0,05;0,02;9,82;0,63;0,43;0;0;0;235,5;4,5117974;51,9444160;1207,05;260,03;18,54;1;6;1,1;2,8;0,79;0,02;0,79;-1,27;-1,31;0,00;0,00
