FILE NAME;035_22306_131120_133210.CSV
HASHCODE;CFD74F756D574D8E33976E96792A203BA334265D6A27F25D1472E7DA1DB03C1E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;13:32:11;GMT+00:00
END OF MEASUREMENT;13/11/2020;13:32:31;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   20040;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6150;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   16160;[mS]
PEAK GPS SPEED; 48,89;[kph]
TIME OF PEAK GPS SPEED;   12750;[mS]
PEAK SPEED; 47,54;[kph]
TIME OF PEAK SPEED;   13130;[mS]
TIME ACC WENT OVER 1m/s/s;   11320;[mS]
PEAK ACC; 18,11;[m/s/s]
TIME OF PEAK ACC;   13960;[mS]
PEAK PITCH;   2,30;[deg]
TIME OF PEAK PITCH;    9780;[mS]
PEAK SLIP; 141,77;[deg]
TIME OF PEAK SLIP;    7150;[mS]
AVERAGE LONG ACCEL AT START;  0,06;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,03;[deg/s]
AVERAGE LONG ACCEL AT END; -0,10;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,18;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;0,08;-0,10;9,81;0,25;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,18;0,37;0,31;-0,02;-0,03;0,00;0,13
10;12,4;0,07;-0,10;9,81;0,01;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,32;0,60;0,32;-0,04;-0,03;0,00;0,12
20;12,3;0,08;-0,09;9,80;0,01;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,32;0,60;0,32;-0,05;-0,04;0,00;0,12
30;12,4;0,08;-0,10;9,80;-0,29;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,32;0,58;0,32;-0,04;-0,04;0,00;0,12
40;12,4;0,07;-0,10;9,79;-0,26;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,32;0,58;0,31;-0,04;-0,04;0,00;0,12
50;12,4;0,07;-0,11;9,79;-0,20;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,31;0,58;0,31;-0,04;-0,04;0,00;0,12
60;12,3;0,09;-0,12;9,78;0,09;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,31;0,60;0,31;-0,04;-0,04;0,00;0,12
70;12,3;0,06;-0,12;9,77;0,01;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,31;0,61;0,31;-0,03;-0,04;0,00;0,12
80;12,3;0,07;-0,13;9,78;-0,00;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,31;0,62;0,31;-0,06;-0,04;0,00;0,11
90;12,3;0,06;-0,14;9,77;0,06;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,31;0,64;0,31;-0,04;-0,04;0,00;0,11
100;12,3;0,06;-0,14;9,79;0,23;0,18;0;0;0;192,0;4,5119476;51,9445724;1272,79;153,59;0,33;1;4;2,0;4,5;0,31;0,66;0,31;-0,05;-0,04;0,00;0,11
