FILE NAME;036_22306_131120_133317.CSV
HASHCODE;D53E91718682C2B6D0285C770F0C56AF471CA98A120052974AFF4734CF61DB79
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;13:33:18;GMT+00:00
END OF MEASUREMENT;13/11/2020;13:33:37;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   19580;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5370;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   16780;[mS]
PEAK GPS SPEED; 52,20;[kph]
TIME OF PEAK GPS SPEED;   13580;[mS]
PEAK SPEED; 50,86;[kph]
TIME OF PEAK SPEED;   13410;[mS]
TIME ACC WENT OVER 1m/s/s;   10960;[mS]
PEAK ACC; 14,64;[m/s/s]
TIME OF PEAK ACC;   13530;[mS]
PEAK PITCH;   4,34;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 141,64;[deg]
TIME OF PEAK SLIP;    8580;[mS]
AVERAGE LONG ACCEL AT START;  0,10;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,15;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,03;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,19;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,1;-0,00;0,09;9,83;-0,01;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;0,34;0,72;4,35;-0,95;-0,99;0,00;0,00
10;14,1;0,21;0,17;9,83;0,13;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,34;0,54;4,34;-1,03;-1,00;0,00;0,00
20;14,2;0,09;0,15;9,78;-0,12;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,34;0,76;4,33;-0,82;-0,98;0,00;0,00
30;14,2;0,01;0,14;9,82;-0,08;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,33;0,80;4,32;-0,93;-0,97;0,00;0,00
40;14,1;0,08;0,23;9,82;0,21;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,33;0,81;4,32;-1,02;-0,98;0,00;0,00
50;14,1;0,17;0,20;9,88;0,05;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,32;0,91;4,31;-0,94;-0,97;0,00;0,00
60;14,2;0,11;0,08;9,84;-0,01;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,32;0,95;4,30;-0,85;-0,96;0,00;0,00
70;14,2;0,02;0,03;9,87;-0,21;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,32;0,88;4,29;-0,91;-0,96;0,00;0,00
80;14,1;0,14;0,13;9,81;0,01;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,31;0,80;4,28;-1,00;-0,96;0,00;0,00
90;14,1;0,22;0,17;9,82;0,08;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,31;0,79;4,27;-0,87;-0,95;0,00;0,00
100;14,2;0,11;0,17;9,78;-0,11;0,54;0;0;0;225,7;4,5118651;51,9445152;1267,13;147,12;3,72;1;5;2,5;4,7;4,30;0,81;4,26;-0,79;-0,94;0,00;0,00
