FILE NAME;037_22306_131120_133414.CSV
HASHCODE;F75F944D55B4D9302922787A5114E777CEF6C3AC3D4771DA3539D2783E1ED423
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;13:34:15;GMT+00:00
END OF MEASUREMENT;13/11/2020;13:34:36;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   21430;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6790;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   17790;[mS]
PEAK GPS SPEED; 50,44;[kph]
TIME OF PEAK GPS SPEED;   13990;[mS]
PEAK SPEED; 50,01;[kph]
TIME OF PEAK SPEED;   14290;[mS]
TIME ACC WENT OVER 1m/s/s;   13150;[mS]
PEAK ACC; 11,73;[m/s/s]
TIME OF PEAK ACC;   14650;[mS]
PEAK PITCH;   6,46;[deg]
TIME OF PEAK PITCH;      20;[mS]
PEAK SLIP; 179,13;[deg]
TIME OF PEAK SLIP;    8200;[mS]
AVERAGE LONG ACCEL AT START;  0,11;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,15;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,04;[deg/s]
AVERAGE LONG ACCEL AT END; -0,14;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,22;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,1;0,03;0,19;9,85;0,26;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;3,96;0,87;6,47;-1,95;-1,98;0,00;0,00
10;14,0;0,14;0,23;9,80;0,34;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,46;1,10;6,46;-2,04;-1,99;0,00;0,00
20;14,1;0,07;0,17;9,84;0,29;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,45;1,22;6,45;-1,92;-1,98;0,00;0,00
30;14,2;0,04;0,08;9,91;0,13;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,45;1,14;6,43;-1,99;-1,98;0,00;0,00
40;14,1;0,08;0,15;9,82;0,00;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,44;0,98;6,42;-2,02;-1,99;0,00;0,00
50;14,1;0,19;0,16;9,80;-0,00;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,43;0,96;6,41;-1,97;-1,98;0,00;0,00
60;14,2;0,11;0,20;9,79;-0,08;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,43;0,95;6,39;-1,86;-1,97;0,00;0,00
70;14,2;0,04;0,20;9,83;-0,27;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,42;0,98;6,38;-1,93;-1,97;0,00;0,00
80;14,1;0,06;0,25;9,82;0,31;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,41;1,00;6,36;-2,01;-1,97;0,00;0,00
90;14,1;0,16;0,23;9,81;-0,06;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,41;1,05;6,35;-1,99;-1,97;0,00;0,00
100;14,1;0,11;0,16;9,79;-0,01;0,58;0;0;0;292,4;4,5119128;51,9445724;1270,39;153,59;2,62;1;5;2,9;5,0;6,40;1,08;6,34;-1,88;-1,96;0,00;0,00
