FILE NAME;038_22306_131120_133501.CSV
HASHCODE;DC9BBC6B6CAC8BB4EE89822FEAA85734B28DE5E016B65EDA931DEC5008ABC7D3
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;13:35:01;GMT+00:00
END OF MEASUREMENT;13/11/2020;13:35:24;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   23260;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4970;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   19570;[mS]
PEAK GPS SPEED; 53,17;[kph]
TIME OF PEAK GPS SPEED;   16170;[mS]
PEAK SPEED; 49,74;[kph]
TIME OF PEAK SPEED;   16410;[mS]
TIME ACC WENT OVER 1m/s/s;   11070;[mS]
PEAK ACC; 13,32;[m/s/s]
TIME OF PEAK ACC;   16640;[mS]
PEAK PITCH;   7,53;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 163,36;[deg]
TIME OF PEAK SLIP;    7560;[mS]
AVERAGE LONG ACCEL AT START;  0,11;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,17;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,2;0,15;0,08;9,91;0,48;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;5,83;0,85;7,55;-2,63;-2,73;0,00;0,00
10;14,1;0,10;0,05;9,91;0,21;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,53;0,48;7,53;-2,64;-2,72;0,00;0,00
20;14,1;0,21;0,17;9,78;0,02;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,53;0,39;7,52;-2,69;-2,72;0,00;0,00
30;14,2;0,18;0,19;9,72;0,15;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,52;0,59;7,50;-2,58;-2,71;0,00;0,00
40;14,2;-0,02;0,18;9,85;-0,15;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,51;0,72;7,49;-2,61;-2,70;0,00;0,00
50;14,1;0,06;0,26;9,79;-0,07;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,50;0,79;7,47;-2,81;-2,71;0,00;0,00
60;14,0;0,17;0,26;9,77;0,18;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,50;0,90;7,46;-2,72;-2,71;0,00;0,00
70;14,1;0,11;0,16;9,77;0,50;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,49;0,99;7,44;-2,61;-2,70;0,00;0,00
80;14,1;-0,04;0,10;9,88;0,01;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,48;0,98;7,43;-2,67;-2,70;0,00;0,00
90;14,0;0,06;0,16;9,78;0,05;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,47;0,94;7,41;-2,81;-2,71;0,00;0,00
100;14,0;0,19;0,19;9,80;0,46;0,58;0;0;0;325,6;4,5118995;51,9445610;1269,48;152,07;0,22;1;6;3,1;5,0;7,47;0,94;7,40;-2,71;-2,71;0,00;0,00
