FILE NAME;039_22306_131120_133628.CSV
HASHCODE;EEC587956969E3FA0C0A717D946E9B8237645FCC116C07668A1B94D2DA8E9527
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/11/2020;13:36:28;GMT+00:00
END OF MEASUREMENT;13/11/2020;13:36:57;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   28380;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4440;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   25850;[mS]
PEAK GPS SPEED; 49,54;[kph]
TIME OF PEAK GPS SPEED;   21250;[mS]
PEAK SPEED; 49,76;[kph]
TIME OF PEAK SPEED;   20830;[mS]
TIME ACC WENT OVER 1m/s/s;    8600;[mS]
PEAK ACC; 10,71;[m/s/s]
TIME OF PEAK ACC;   21300;[mS]
PEAK PITCH;   4,32;[deg]
TIME OF PEAK PITCH;   23310;[mS]
PEAK SLIP; 169,02;[deg]
TIME OF PEAK SLIP;    6060;[mS]
AVERAGE LONG ACCEL AT START;  0,10;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,10;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,08;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;14,2;0,12;0,09;9,78;0,39;0,32;0;0;0;278,2;4,5119314;51,9445953;1271,65;155,87;5,62;1;5;1,6;4,9;6,80;1,00;0,92;-1,39;-1,55;0,00;0,00
10;14,1;0,06;0,15;9,80;0,16;0,32;0;0;0;278,2;4,5119314;51,9445953;1271,65;155,87;5,62;1;5;1,6;4,9;0,92;0,54;0,92;-1,51;-1,54;0,00;0,00
20;14,1;0,16;0,13;9,79;0,27;0,32;0;0;0;278,2;4,5119314;51,9445953;1271,65;155,87;5,62;1;5;1,6;4,9;0,92;0,71;0,92;-1,58;-1,55;0,00;0,00
30;14,2;0,09;0,07;9,74;0,16;0,32;0;0;0;278,2;4,5119314;51,9445953;1271,65;155,87;5,62;1;5;1,6;4,9;0,92;0,73;0,93;-1,47;-1,54;0,00;0,00
40;14,2;0,08;-0,01;9,80;0,29;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,92;0,65;0,93;-1,54;-1,54;0,00;0,00
50;14,1;0,19;0,10;9,72;0,38;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,92;0,51;0,93;-1,55;-1,54;0,00;0,00
60;14,1;0,22;0,13;9,68;0,17;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,93;0,53;0,93;-1,44;-1,53;0,00;0,00
70;14,2;0,13;0,17;9,68;0,29;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,93;0,56;0,93;-1,42;-1,52;0,00;0,00
80;14,1;0,07;0,18;9,78;-0,14;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,93;0,61;0,93;-1,50;-1,52;0,00;0,00
90;14,1;0,16;0,19;9,87;0,28;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,93;0,66;0,93;-1,55;-1,52;0,00;0,00
100;14,1;0,18;0,11;9,85;0,00;0,32;0;0;0;260,5;4,5119319;51,9445915;1271,70;155,49;5,56;1;5;1,6;4,9;0,93;0,71;0,93;-1,47;-1,52;0,00;0,00
