FILE NAME;001_22306_241120_200250.CSV
HASHCODE;70E98E1641E0E3956C65378FF9853B306406491DEAAA3D0653CF66A8CED3225F
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:02:50;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:03:39;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   49570;[mS]
TIME GPS SPEED WENT OVER 2KPH;   18820;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   39600;[mS]
PEAK GPS SPEED; 38,16;[kph]
TIME OF PEAK GPS SPEED;   26210;[mS]
PEAK SPEED; 38,30;[kph]
TIME OF PEAK SPEED;   25620;[mS]
TIME ACC WENT OVER 1m/s/s;   33070;[mS]
PEAK ACC;  1,99;[m/s/s]
TIME OF PEAK ACC;   37420;[mS]
PEAK PITCH;   0,67;[deg]
TIME OF PEAK PITCH;   23360;[mS]
PEAK SLIP;   9,07;[deg]
TIME OF PEAK SLIP;   21420;[mS]
AVERAGE LONG ACCEL AT START; -0,11;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,22;[deg/s]
AVERAGE LONG ACCEL AT END; -0,09;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,19;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;   0,30;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,11;0,05;9,82;0,44;0,04;0;0;0;22,7;4,4919562;51,8943520;3138,98;2727,32;2,42;1;7;0,7;2,7;0,93;1,90;-0,40;-0,04;-0,03;0,00;0,08
10;12,3;-0,10;0,05;9,81;0,28;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,31;-0,40;-0,04;-0,03;0,00;0,08
20;12,3;-0,13;0,04;9,83;0,06;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,31;-0,40;-0,03;-0,03;0,00;0,08
30;12,3;-0,10;0,05;9,82;0,07;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,29;-0,40;-0,06;-0,03;0,00;0,08
40;12,3;-0,11;0,04;9,82;0,18;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,30;-0,41;-0,02;-0,03;0,00;0,08
50;12,3;-0,10;0,05;9,81;0,44;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,29;-0,41;-0,03;-0,03;0,00;0,08
60;12,3;-0,12;0,05;9,84;0,37;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,29;-0,40;-0,02;-0,03;0,00;0,08
70;12,3;-0,14;0,05;9,79;0,37;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,29;-0,40;-0,04;-0,03;0,00;0,08
80;12,3;-0,13;0,06;9,81;0,02;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,30;-0,40;-0,06;-0,03;0,00;0,07
90;12,3;-0,14;0,05;9,82;0,27;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,30;-0,41;-0,05;-0,04;0,00;0,07
100;12,3;-0,11;0,04;9,80;0,35;0,07;0;0;0;105,9;4,4919567;51,8943520;3139,04;2727,32;2,32;1;7;0,7;2,7;0,40;0,30;-0,41;-0,06;-0,04;0,00;0,07
