FILE NAME;002_22306_241120_200651.CSV
HASHCODE;FAFCD6DE20F36ECD3EBB7D70EC0315B2D0D1A19619557D01F085BAB8DB1D82FF
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:06:51;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:07:45;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   53470;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8130;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   42320;[mS]
PEAK GPS SPEED; 62,93;[kph]
TIME OF PEAK GPS SPEED;   28740;[mS]
PEAK SPEED; 62,62;[kph]
TIME OF PEAK SPEED;   29290;[mS]
TIME ACC WENT OVER 1m/s/s;   31460;[mS]
PEAK ACC;  1,97;[m/s/s]
TIME OF PEAK ACC;   40250;[mS]
PEAK PITCH;   0,79;[deg]
TIME OF PEAK PITCH;   29590;[mS]
PEAK SLIP;   5,89;[deg]
TIME OF PEAK SLIP;   11140;[mS]
AVERAGE LONG ACCEL AT START; -0,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,39;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,27;[deg/s]
AVERAGE LONG ACCEL AT END; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,03;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,07;0,40;9,81;0,31;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,44;0,30;-0,36;-0,00;0,01;0,00;0,09
10;12,3;-0,05;0,40;9,82;0,45;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,36;2,35;-0,36;-0,04;0,00;0,00;0,09
20;12,3;-0,06;0,38;9,81;0,48;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,36;2,35;-0,35;-0,02;0,00;0,00;0,09
30;12,3;-0,05;0,41;9,81;0,54;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,31;-0,35;-0,03;-0,00;0,00;0,09
40;12,3;-0,04;0,37;9,83;0,16;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,33;-0,35;-0,03;-0,01;0,00;0,09
50;12,3;-0,06;0,39;9,82;0,34;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,30;-0,35;-0,02;-0,01;0,00;0,09
60;12,3;-0,08;0,37;9,81;0,86;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,30;-0,35;-0,04;-0,01;0,00;0,08
70;12,3;-0,02;0,39;9,83;0,59;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,28;-0,34;-0,06;-0,01;0,00;0,08
80;12,3;-0,04;0,37;9,81;0,38;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,29;-0,34;0,00;-0,01;0,00;0,08
90;12,3;-0,05;0,40;9,82;0,01;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,27;-0,34;-0,02;-0,01;0,00;0,08
100;12,3;-0,05;0,38;9,82;0,44;0,04;0;0;0;69,9;4,4792757;51,8799820;2267,38;1127,57;6,34;1;7;0,6;2,6;0,35;2,28;-0,34;-0,03;-0,01;0,00;0,08
