FILE NAME;003_22306_241120_200812.CSV
HASHCODE;0B0488106139D669B5D0849A8EB7D12EAD14E5C1493A4D5DC0F757BB04F328C9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:08:12;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:09:37;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   84820;[mS]
TIME GPS SPEED WENT OVER 2KPH;   10560;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   73960;[mS]
PEAK GPS SPEED; 60,80;[kph]
TIME OF PEAK GPS SPEED;   47770;[mS]
PEAK SPEED; 60,71;[kph]
TIME OF PEAK SPEED;   41350;[mS]
TIME ACC WENT OVER 1m/s/s;   51350;[mS]
PEAK ACC;  1,64;[m/s/s]
TIME OF PEAK ACC;   11970;[mS]
PEAK PITCH;   4,48;[deg]
TIME OF PEAK PITCH;   40540;[mS]
PEAK SLIP;   8,11;[deg]
TIME OF PEAK SLIP;   32270;[mS]
AVERAGE LONG ACCEL AT START; -0,06;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,03;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,25;[deg/s]
AVERAGE LONG ACCEL AT END; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,04;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,30;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,06;-0,01;9,80;0,04;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,20;-0,31;0,03;0,01;0,00;0,03
10;12,3;-0,06;-0,01;9,80;0,13;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,14;-0,31;0,01;0,01;0,00;0,03
20;12,3;-0,07;-0,01;9,80;-0,14;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,12;-0,31;0,01;0,01;0,00;0,04
30;12,3;-0,03;-0,02;9,81;0,38;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,11;-0,31;0,00;0,01;0,00;0,04
40;12,3;-0,06;-0,03;9,81;0,41;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,12;-0,31;0,04;0,01;0,00;0,04
50;12,3;-0,07;-0,03;9,80;0,09;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,13;-0,31;0,00;0,01;0,00;0,04
60;12,3;-0,06;-0,03;9,82;0,34;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,14;-0,31;-0,01;0,01;0,00;0,04
70;12,3;-0,08;-0,02;9,80;0,29;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,15;-0,31;0,00;0,01;0,00;0,04
80;12,3;-0,04;-0,03;9,83;0,20;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,15;-0,31;-0,02;0,01;0,00;0,04
90;12,3;-0,03;-0,02;9,83;0,36;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,15;-0,31;0,02;0,01;0,00;0,04
100;12,3;-0,05;-0,03;9,81;0,40;0,07;0;0;0;167,7;4,4782429;51,8766327;2196,40;755,01;12,04;1;5;0,7;2,6;0,31;0,15;-0,31;0,03;0,01;0,00;0,04
