FILE NAME;004_22306_241120_201215.CSV
HASHCODE;232C88285BD2B3D3F39D15DF0E1D505A0C2A23CBD449C65504ABA0E9B4C90207
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:12:16;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:14:17;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;  121010;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5290;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   87850;[mS]
PEAK GPS SPEED; 76,54;[kph]
TIME OF PEAK GPS SPEED;   44100;[mS]
PEAK SPEED; 76,42;[kph]
TIME OF PEAK SPEED;   44510;[mS]
TIME ACC WENT OVER 1m/s/s;   35650;[mS]
PEAK ACC;  2,55;[m/s/s]
TIME OF PEAK ACC;   35650;[mS]
PEAK PITCH;   1,63;[deg]
TIME OF PEAK PITCH;   96210;[mS]
PEAK SLIP;   8,13;[deg]
TIME OF PEAK SLIP;   33100;[mS]
AVERAGE LONG ACCEL AT START; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,81;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,22;[deg/s]
AVERAGE LONG ACCEL AT END;  0,38;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,28;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,04;0,81;9,81;0,10;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,73;-0,31;0,02;-0,01;0,00;0,02
10;12,3;-0,02;0,81;9,81;0,31;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,73;-0,31;-0,01;-0,01;0,00;0,02
20;12,3;-0,02;0,80;9,82;0,47;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,73;-0,31;0,01;-0,01;0,00;0,02
30;12,3;-0,02;0,82;9,82;0,35;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,72;-0,31;0,01;-0,01;0,00;0,02
40;12,3;-0,03;0,81;9,81;-0,04;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,73;-0,31;0,01;-0,01;0,00;0,02
50;12,3;-0,00;0,82;9,82;0,30;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,73;-0,31;-0,00;-0,01;0,00;0,02
60;12,3;-0,00;0,81;9,83;0,46;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,74;-0,31;0,03;-0,00;0,00;0,02
70;12,3;-0,02;0,82;9,82;0,19;0,11;0;0;0;26,7;4,4574594;51,8710136;767,90;129,64;7,51;1;5;0,8;2,6;0,31;4,74;-0,31;0,03;0,00;0,00;0,02
80;12,3;-0,02;0,81;9,83;0,17;0,11;0;0;0;26,7;4,4574594;51,8710136;767,87;129,26;7,51;1;5;0,8;2,6;0,31;4,74;-0,31;0,01;0,00;0,00;0,02
90;12,3;-0,04;0,82;9,83;0,24;0,18;0;0;0;214,3;4,4574594;51,8710136;767,87;129,26;7,63;1;5;0,8;2,6;0,31;4,74;-0,31;0,01;0,00;0,00;0,02
100;12,3;-0,02;0,82;9,83;0,17;0,18;0;0;0;214,3;4,4574594;51,8710136;767,87;129,26;7,63;1;5;0,8;2,6;0,31;4,75;-0,31;-0,01;0,00;0,00;0,02
