FILE NAME;005_22306_241120_204034.CSV
HASHCODE;1E5D1E3B852F7BB308F323198ECDB531CFC917862B05335C082D0B9368BB815F
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:40:34;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:42:15;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;  100430;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7930;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     130;[mS]
PEAK GPS SPEED; 64,62;[kph]
TIME OF PEAK GPS SPEED;   51540;[mS]
PEAK SPEED; 64,45;[kph]
TIME OF PEAK SPEED;   38650;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  1,57;[m/s/s]
TIME OF PEAK ACC;    9030;[mS]
PEAK PITCH;   6,25;[deg]
TIME OF PEAK PITCH;   65950;[mS]
PEAK SLIP;  13,09;[deg]
TIME OF PEAK SLIP;   62740;[mS]
AVERAGE LONG ACCEL AT START; -0,06;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,18;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,22;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,42;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,40;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,02;-0,19;9,80;0,11;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,34;4,75;-0,26;0,00;0,00;0,00;0,05
10;12,3;-0,06;-0,19;9,80;0,28;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,11;-0,26;0,02;0,00;0,00;0,05
20;12,3;-0,02;-0,17;9,80;0,25;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,11;-0,26;-0,02;0,00;0,00;0,05
30;12,3;-0,02;-0,22;9,80;0,26;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,07;-0,26;0,02;0,00;0,00;0,05
40;12,3;-0,11;-0,14;9,80;0,00;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,12;-0,26;0,02;0,00;0,00;0,05
50;12,3;-0,02;-0,22;9,81;0,14;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,06;-0,26;-0,07;-0,00;0,00;0,05
60;12,3;-0,02;-0,16;9,78;0,23;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,10;-0,26;0,02;-0,00;0,00;0,05
70;12,3;-0,07;-0,17;9,81;0,20;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,07;-0,26;0,02;0,00;0,00;0,05
80;12,3;-0,04;-0,17;9,81;0,20;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,06;-0,26;-0,03;-0,00;0,00;0,05
90;12,3;-0,05;-0,16;9,77;0,19;0,04;0;0;0;182,3;4,3788939;51,8915291;-4632,27;2413,30;6,26;1;7;0,5;2,8;0,26;1,06;-0,26;0,00;-0,00;0,00;0,05
