FILE NAME;006_22306_241120_204427.CSV
HASHCODE;721CDD7399AED6E87E41F5F0423F6AA7E862D59A1D227366CD757D0F1FB7F1A3
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:44:27;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:45:18;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   51490;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6980;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   41590;[mS]
PEAK GPS SPEED; 36,00;[kph]
TIME OF PEAK GPS SPEED;   13980;[mS]
PEAK SPEED; 35,98;[kph]
TIME OF PEAK SPEED;   13290;[mS]
TIME ACC WENT OVER 1m/s/s;   14130;[mS]
PEAK ACC;  1,97;[m/s/s]
TIME OF PEAK ACC;   39610;[mS]
PEAK PITCH;   1,55;[deg]
TIME OF PEAK PITCH;   18770;[mS]
PEAK SLIP;   7,73;[deg]
TIME OF PEAK SLIP;   18580;[mS]
AVERAGE LONG ACCEL AT START; -0,23;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,01;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,28;[deg/s]
AVERAGE LONG ACCEL AT END; -0,05;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,02;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,31;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,22;-0,05;9,81;0,10;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;0,28;1,04;-1,53;0,01;0,00;0,00;0,11
10;12,3;-0,21;0,02;9,80;0,20;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,54;0,31;-1,54;-0,01;0,00;0,00;0,11
20;12,3;-0,21;-0,03;9,81;0,51;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,54;0,09;-1,54;-0,00;0,00;0,00;0,11
30;12,3;-0,20;-0,01;9,80;0,29;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,53;0,12;-1,53;-0,00;0,00;0,00;0,11
40;12,3;-0,25;-0,03;9,80;0,18;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,53;0,11;-1,53;0,05;0,01;0,00;0,11
50;12,3;-0,21;0,00;9,81;0,23;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,53;0,13;-1,53;0,00;0,01;0,00;0,11
60;12,3;-0,25;-0,03;9,81;0,18;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,53;0,11;-1,54;0,04;0,01;0,00;0,11
70;12,3;-0,24;-0,01;9,81;0,22;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,54;0,12;-1,54;0,00;0,01;0,00;0,11
80;12,3;-0,20;-0,05;9,80;0,70;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,54;0,11;-1,54;0,01;0,01;0,00;0,12
90;12,3;-0,21;-0,02;9,81;0,24;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,54;0,14;-1,53;0,05;0,01;0,00;0,12
100;12,3;-0,23;-0,03;9,80;0,24;0,14;0;0;0;149,6;4,3844814;51,8690681;-4248,18;-87,06;12,38;1;7;0,7;2,8;1,54;0,14;-1,53;0,04;0,02;0,00;0,12
