FILE NAME;007_22306_241120_205636.CSV
HASHCODE;3D92B7FD4F5025B918626FE7329C4DF103191F802C3E138BEA8DE132862BCEA3
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;20:56:36;GMT+00:00
END OF MEASUREMENT;24/11/2020;20:58:46;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;  129720;[mS]
TIME GPS SPEED WENT OVER 2KPH;   71710;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  120900;[mS]
PEAK GPS SPEED; 59,26;[kph]
TIME OF PEAK GPS SPEED;  106100;[mS]
PEAK SPEED; 59,24;[kph]
TIME OF PEAK SPEED;  105030;[mS]
TIME ACC WENT OVER 1m/s/s;   81400;[mS]
PEAK ACC;  2,07;[m/s/s]
TIME OF PEAK ACC;  118260;[mS]
PEAK PITCH;   1,54;[deg]
TIME OF PEAK PITCH;  117710;[mS]
PEAK SLIP;   5,06;[deg]
TIME OF PEAK SLIP;   75320;[mS]
AVERAGE LONG ACCEL AT START; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,25;[deg/s]
AVERAGE LONG ACCEL AT END; -0,22;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,34;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,02;-0,02;9,82;-0,10;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;1,53;0,04;-0,18;-0,01;-0,00;0,00;0,05
10;12,2;-0,02;0,02;9,83;0,41;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,14;-0,18;0,02;-0,00;0,00;0,05
20;12,2;-0,04;0,03;9,81;0,01;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,00;-0,18;0,02;0,00;0,00;0,05
30;12,2;-0,04;0,02;9,82;0,18;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,06;-0,18;-0,00;0,00;0,00;0,05
40;12,2;-0,03;0,04;9,82;0,33;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,08;-0,18;-0,00;0,00;0,00;0,05
50;12,2;-0,04;0,03;9,80;0,19;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,12;-0,18;0,01;0,00;0,00;0,05
60;12,2;-0,02;0,03;9,81;0,45;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,13;-0,18;-0,00;0,00;0,00;0,05
70;12,2;-0,02;0,03;9,80;0,40;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,14;-0,18;0,02;0,00;0,00;0,05
80;12,2;-0,04;0,03;9,80;-0,09;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,15;-0,18;0,02;0,00;0,00;0,05
90;12,2;-0,04;0,03;9,80;0,21;0,07;0;0;0;278,6;4,3649278;51,8577652;-5592,24;-1345,41;7,43;1;7;0,5;2,8;0,18;0,15;-0,18;-0,00;0,00;0,00;0,05
100;12,2;-0,03;0,03;9,80;0,31;0,07;0;0;0;278,6;4,3649282;51,8577652;-5592,21;-1345,41;7,43;1;7;0,5;2,8;0,18;0,16;-0,19;0,00;0,00;0,00;0,05
