FILE NAME;008_22306_241120_210006.CSV
HASHCODE;09808439951A5948C51B276559A244E5E6625453BAA9DCDFCC2237E5DF68181A
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;21:00:06;GMT+00:00
END OF MEASUREMENT;24/11/2020;21:02:59;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;  173060;[mS]
TIME GPS SPEED WENT OVER 2KPH;   41120;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  163910;[mS]
PEAK GPS SPEED; 61,06;[kph]
TIME OF PEAK GPS SPEED;   51340;[mS]
PEAK SPEED; 63,65;[kph]
TIME OF PEAK SPEED;  135640;[mS]
TIME ACC WENT OVER 1m/s/s;   71440;[mS]
PEAK ACC;  1,65;[m/s/s]
TIME OF PEAK ACC;    9180;[mS]
PEAK PITCH;   8,81;[deg]
TIME OF PEAK PITCH;   45470;[mS]
PEAK SLIP;  46,76;[deg]
TIME OF PEAK SLIP;   42890;[mS]
AVERAGE LONG ACCEL AT START;  0,34;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,39;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,78;[m/s/s]
AVERAGE PITCH RATE AT START;   0,26;[deg/s]
AVERAGE LONG ACCEL AT END; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,87;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,34;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,32;-0,40;9,78;0,30;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;0,20;0,19;7,41;-1,25;-1,24;0,00;0,00
10;12,2;0,36;-0,38;9,78;0,38;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,41;2,35;7,41;-1,26;-1,24;0,00;0,00
20;12,2;0,34;-0,39;9,77;0,43;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,41;2,30;7,41;-1,22;-1,24;0,00;0,00
30;12,2;0,35;-0,38;9,77;0,31;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,30;7,42;-1,24;-1,24;0,00;0,00
40;12,2;0,34;-0,39;9,79;0,50;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,28;7,42;-1,23;-1,24;0,00;0,00
50;12,2;0,36;-0,38;9,78;0,65;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,28;7,42;-1,24;-1,24;0,00;0,00
60;12,2;0,37;-0,40;9,79;0,45;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,28;7,42;-1,23;-1,24;0,00;0,00
70;12,2;0,31;-0,38;9,77;0,65;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,29;7,43;-1,22;-1,24;0,00;0,00
80;12,2;0,33;-0,41;9,78;0,69;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,28;7,43;-1,27;-1,24;0,00;0,00
90;12,2;0,34;-0,38;9,79;0,19;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,30;7,43;-1,26;-1,24;0,00;0,00
100;12,2;0,32;-0,40;9,76;0,39;0,00;0;0;0;213,3;4,3601298;51,8522377;-5903,11;-1932,01;0,56;0;0;9999;9999;7,42;2,29;7,43;-1,25;-1,24;0,00;0,00
