FILE NAME;009_22306_241120_210313.CSV
HASHCODE;FA47D2B2269DB95EDE4DC2D8EBC370A764E777CAE5E196EF7E62FFCA6C3EDAC4
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;21:03:13;GMT+00:00
END OF MEASUREMENT;24/11/2020;21:04:01;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   47500;[mS]
TIME GPS SPEED WENT OVER 2KPH;    9330;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 59,47;[kph]
TIME OF PEAK GPS SPEED;   29140;[mS]
PEAK SPEED; 59,64;[kph]
TIME OF PEAK SPEED;   30060;[mS]
TIME ACC WENT OVER 1m/s/s;   31030;[mS]
PEAK ACC;  1,59;[m/s/s]
TIME OF PEAK ACC;   31460;[mS]
PEAK PITCH;   0,62;[deg]
TIME OF PEAK PITCH;   42930;[mS]
PEAK SLIP;   8,61;[deg]
TIME OF PEAK SLIP;   24940;[mS]
AVERAGE LONG ACCEL AT START; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,85;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,23;[deg/s]
AVERAGE LONG ACCEL AT END; -0,05;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,01;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;   0,26;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,03;0,84;9,80;0,29;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;7,41;2,26;-0,25;-0,01;-0,01;0,00;0,06
10;12,2;-0,02;0,85;9,82;0,42;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,90;-0,25;-0,01;-0,01;0,00;0,06
20;12,2;-0,03;0,87;9,80;0,39;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,93;-0,25;0,00;-0,00;0,00;0,06
30;12,2;-0,01;0,85;9,79;0,15;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,98;-0,25;-0,01;-0,01;0,00;0,06
40;12,2;-0,02;0,86;9,80;0,31;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,97;-0,25;0,01;-0,00;0,00;0,06
50;12,2;-0,03;0,85;9,80;-0,03;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,98;-0,25;0,00;-0,00;0,00;0,06
60;12,2;-0,03;0,87;9,79;0,27;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,98;-0,25;-0,01;-0,00;0,00;0,06
70;12,2;0,01;0,85;9,79;0,18;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,99;-0,25;-0,01;-0,00;0,00;0,06
80;12,2;-0,03;0,87;9,77;0,16;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,99;-0,25;0,03;-0,00;0,00;0,06
90;12,2;-0,03;0,85;9,79;0,66;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;5,00;-0,25;-0,01;-0,00;0,00;0,06
100;12,2;-0,05;0,87;9,77;0,22;0,04;0;0;0;184,3;4,3316755;51,8438187;-7877,78;-2898,01;4,92;1;6;0,6;1,7;0,25;4,99;-0,25;-0,01;-0,00;0,00;0,06
