FILE NAME;010_22306_241120_210520.CSV
HASHCODE;62031BB334A8D0A2393761E5C56CAB64C673DF163D31951E5C262943F9B0B631
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;21:05:21;GMT+00:00
END OF MEASUREMENT;24/11/2020;21:07:07;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;  106130;[mS]
TIME GPS SPEED WENT OVER 2KPH;    9770;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   95780;[mS]
PEAK GPS SPEED; 37,98;[kph]
TIME OF PEAK GPS SPEED;   17580;[mS]
PEAK SPEED; 38,81;[kph]
TIME OF PEAK SPEED;   18000;[mS]
TIME ACC WENT OVER 1m/s/s;   78740;[mS]
PEAK ACC;  1,98;[m/s/s]
TIME OF PEAK ACC;   82590;[mS]
PEAK PITCH;   1,07;[deg]
TIME OF PEAK PITCH;   15570;[mS]
PEAK SLIP;   8,99;[deg]
TIME OF PEAK SLIP;   29590;[mS]
AVERAGE LONG ACCEL AT START; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,27;[deg/s]
AVERAGE LONG ACCEL AT END; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;   0,27;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,04;-0,02;9,80;-0,01;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,28;5,00;-0,24;-0,06;-0,02;0,00;0,05
10;12,2;-0,04;-0,01;9,81;0,22;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,14;-0,25;0,05;-0,02;0,00;0,06
20;12,2;-0,07;-0,03;9,80;0,38;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,09;-0,25;0,05;-0,01;0,00;0,06
30;12,2;-0,01;-0,01;9,81;0,38;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,12;-0,25;0,02;-0,01;0,00;0,06
40;12,2;-0,05;-0,02;9,81;0,15;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,10;-0,25;0,07;0,00;0,00;0,06
50;12,2;-0,04;-0,01;9,80;0,16;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,11;-0,25;0,04;0,00;0,00;0,06
60;12,2;-0,04;-0,02;9,80;0,20;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,10;-0,25;0,05;0,01;0,00;0,06
70;12,2;-0,04;-0,01;9,80;0,31;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,10;-0,25;0,05;0,01;0,00;0,07
80;12,2;-0,05;-0,02;9,80;-0,04;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,10;-0,25;0,05;0,02;0,00;0,07
90;12,2;-0,02;-0,02;9,81;0,41;0,18;0;0;0;116,8;4,3318019;51,8377762;-7869,10;-3570,52;19,04;1;6;0,6;2,0;0,25;0,11;-0,25;0,04;0,02;0,00;0,07
