FILE NAME;011_22306_241120_211128.CSV
HASHCODE;5A946AEEE7FD8D178E36822CF3B3051E6857F4CA002C2C995B29BF4DAAB1D665
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;21:11:29;GMT+00:00
END OF MEASUREMENT;24/11/2020;21:14:18;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;  169480;[mS]
TIME GPS SPEED WENT OVER 2KPH;   37570;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  161770;[mS]
PEAK GPS SPEED; 59,15;[kph]
TIME OF PEAK GPS SPEED;  145780;[mS]
PEAK SPEED; 60,57;[kph]
TIME OF PEAK SPEED;   43400;[mS]
TIME ACC WENT OVER 1m/s/s;   19580;[mS]
PEAK ACC;  1,94;[m/s/s]
TIME OF PEAK ACC;  160060;[mS]
PEAK PITCH;  20,72;[deg]
TIME OF PEAK PITCH;   47850;[mS]
PEAK SLIP; 147,58;[deg]
TIME OF PEAK SLIP;   38370;[mS]
AVERAGE LONG ACCEL AT START; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,28;[deg/s]
AVERAGE LONG ACCEL AT END; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,24;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,14;0,04;9,81;0,05;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,24;0,10;0,00;0,00;0,23;0,00;0,00
10;12,2;-0,11;0,08;9,87;0,11;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,25;0,00;0,00;0,23;0,00;0,00
20;12,2;-0,00;0,06;9,85;0,22;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,37;0,00;0,00;0,23;0,00;0,00
30;12,2;0,05;0,04;9,86;0,40;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,37;0,00;0,00;0,23;0,00;0,00
40;12,2;-0,08;0,05;9,86;0,59;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,34;0,00;0,00;0,23;0,00;0,00
50;12,2;-0,06;0,06;9,82;0,21;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,33;0,00;0,00;0,23;0,00;0,00
60;12,2;-0,02;0,06;9,83;0,16;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,34;0,00;0,00;0,23;0,00;0,00
70;12,2;-0,04;0,04;9,89;0,34;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,34;0,00;0,00;0,23;0,00;0,00
80;12,2;-0,08;0,05;9,92;0,31;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,33;0,00;0,00;0,23;0,00;0,00
90;12,2;0,03;0,04;9,92;0,12;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,33;0,00;0,00;0,23;0,00;0,00
100;12,2;-0,07;0,06;9,95;0,28;0,00;0;0;0;276,2;4,3200989;51,8332634;-8654,75;-4075,01;-4,25;0;0;9999;9999;0,00;0,32;0,00;0,00;0,23;0,00;0,00
