FILE NAME;012_22306_241120_211444.CSV
HASHCODE;62014D5E627F261D275907EDAE17EFBB5A6FA775FD19721B0494F849C83B7A2F
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;21:14:44;GMT+00:00
END OF MEASUREMENT;24/11/2020;21:16:11;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   87270;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6220;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   81620;[mS]
PEAK GPS SPEED; 58,86;[kph]
TIME OF PEAK GPS SPEED;   58020;[mS]
PEAK SPEED; 60,85;[kph]
TIME OF PEAK SPEED;   21520;[mS]
TIME ACC WENT OVER 1m/s/s;    6180;[mS]
PEAK ACC;  1,81;[m/s/s]
TIME OF PEAK ACC;    7650;[mS]
PEAK PITCH;  12,85;[deg]
TIME OF PEAK PITCH;   13920;[mS]
PEAK SLIP;   9,22;[deg]
TIME OF PEAK SLIP;   51200;[mS]
AVERAGE LONG ACCEL AT START; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,28;[deg/s]
AVERAGE LONG ACCEL AT END; -0,02;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,00;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,38;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,02;0,03;9,81;0,55;0,04;0;0;0;191,0;4,3317924;51,8378105;-7869,74;-3566,72;6,13;1;7;0,8;2,2;0,00;0,36;-0,09;-0,34;-0,32;0,00;0,00
10;12,2;-0,03;0,02;9,77;0,24;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,20;-0,09;-0,30;-0,32;0,00;0,00
20;12,2;-0,02;0,03;9,84;0,17;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,17;-0,09;-0,31;-0,32;0,00;0,00
30;12,2;-0,04;0,03;9,82;0,25;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,18;-0,09;-0,28;-0,31;0,00;0,00
40;12,2;-0,04;0,03;9,82;0,15;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,18;-0,09;-0,30;-0,31;0,00;0,00
50;12,2;-0,03;0,02;9,83;-0,01;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,19;-0,10;-0,30;-0,31;0,00;0,00
60;12,2;-0,02;0,02;9,79;0,33;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,18;-0,10;-0,29;-0,31;0,00;0,00
70;12,2;-0,09;0,02;9,81;0,22;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,09;0,17;-0,10;-0,28;-0,31;0,00;0,00
80;12,2;-0,04;0,01;9,81;0,14;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,10;0,17;-0,10;-0,35;-0,31;0,00;0,00
90;12,2;-0,03;0,02;9,81;0,25;0,07;0;0;0;114,1;4,3317924;51,8378105;-7869,74;-3566,72;6,18;1;7;0,8;2,2;0,10;0,16;-0,10;-0,30;-0,31;0,00;0,00
