FILE NAME;013_22306_241120_211919.CSV
HASHCODE;13E2B0E10F278E0D186AC978B1A9D991C9CE89E4C3745F34006BC6540EC342A4
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;24/11/2020;21:19:19;GMT+00:00
END OF MEASUREMENT;24/11/2020;21:20:26;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   66600;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5380;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   57780;[mS]
PEAK GPS SPEED; 59,47;[kph]
TIME OF PEAK GPS SPEED;   21780;[mS]
PEAK SPEED; 62,52;[kph]
TIME OF PEAK SPEED;   22200;[mS]
TIME ACC WENT OVER 1m/s/s;    6190;[mS]
PEAK ACC;  1,68;[m/s/s]
TIME OF PEAK ACC;   11420;[mS]
PEAK PITCH;  10,96;[deg]
TIME OF PEAK PITCH;   16150;[mS]
PEAK SLIP;  22,51;[deg]
TIME OF PEAK SLIP;    9770;[mS]
AVERAGE LONG ACCEL AT START; -0,02;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,26;[deg/s]
AVERAGE LONG ACCEL AT END; -0,01;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;   0,21;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,03;0,05;9,81;0,43;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;0,10;0,16;1,88;0,00;0,02;0,00;0,58
10;12,2;-0,03;0,07;9,81;0,28;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,88;0,31;1,88;0,01;0,02;0,00;0,58
20;12,2;-0,03;0,04;9,82;0,48;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,88;0,37;1,88;0,01;0,02;0,00;0,58
30;12,2;-0,01;0,06;9,81;0,69;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,88;0,33;1,87;0,01;0,02;0,00;0,58
40;12,2;-0,02;0,05;9,82;0,46;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,88;0,34;1,88;0,03;0,02;0,00;0,59
50;12,2;-0,01;0,07;9,82;0,12;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,88;0,33;1,88;-0,01;0,02;0,00;0,59
60;12,2;-0,05;0,05;9,82;0,17;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,88;0,35;1,87;-0,00;0,02;0,00;0,59
70;12,2;-0,03;0,06;9,80;0,18;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,87;0,34;1,87;-0,04;0,01;0,00;0,58
80;12,2;-0,01;0,05;9,81;0,40;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,87;0,35;1,87;-0,02;0,01;0,00;0,58
90;12,2;-0,01;0,07;9,83;0,20;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,87;0,34;1,87;-0,00;0,01;0,00;0,58
100;12,2;-0,00;0,06;9,82;0,34;0,18;0;0;0;285,6;4,3641739;51,8569336;-5644,06;-1438,17;-6,80;1;5;1,2;2,8;1,87;0,35;1,86;-0,00;0,01;0,00;0,58
