FILE NAME;001_22306_130321_052336.CSV
HASHCODE;D0EF69C20689DE97100BCD00C5CECCA04A44C522565F2E45DC237AA02E372C6D
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/03/2021;05:23:36;GMT+00:00
END OF MEASUREMENT;13/03/2021;05:23:44;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;    7670;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,11;[kph]
TIME OF PEAK GPS SPEED;    3640;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,30;[m/s/s]
TIME OF PEAK ACC;    7640;[mS]
PEAK PITCH;   0,55;[deg]
TIME OF PEAK PITCH;    7550;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  0,01;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,74;[m/s/s]
AVERAGE PITCH RATE AT START;   0,12;[deg/s]
AVERAGE LONG ACCEL AT END;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,74;[m/s/s]
AVERAGE PITCH RATE AT END;   0,04;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,5;0,07;-0,10;9,94;0,22;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,57;1,89;-0,00;-0,61;-0,65;0,00;0,00
10;12,4;0,06;-0,11;9,81;0,21;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,60;0,00;-0,59;-0,64;0,00;0,00
20;12,5;0,06;-0,11;9,88;0,09;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,62;0,00;-0,60;-0,64;0,00;0,00
30;12,4;0,03;-0,17;9,76;-0,14;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,63;0,00;-0,60;-0,63;0,00;0,00
40;12,5;-0,01;-0,12;9,72;0,37;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,72;-0,00;-0,64;-0,63;0,00;0,00
50;12,5;0,05;-0,13;9,82;0,37;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,72;0,00;-0,68;-0,64;0,00;0,00
60;12,4;0,04;-0,12;9,63;0,14;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,73;0,00;-0,62;-0,64;0,00;0,00
70;12,5;-0,09;-0,12;9,79;0,24;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,73;0,00;-0,63;-0,64;0,00;0,00
80;12,5;0,11;-0,10;9,84;0,20;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,72;0,01;-0,76;-0,65;0,00;0,00
90;12,5;0,05;-0,09;9,81;0,33;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,71;0,01;-0,55;-0,64;0,00;0,00
100;12,5;0,04;-0,10;9,64;0,45;0,04;0;0;0;170,2;5,4313011;52,5274887;-0,93;-3,04;2,56;1;6;1,1;3,0;0,00;0,69;0,01;-0,62;-0,64;0,00;0,00
