FILE NAME;002_22306_130321_053059.CSV
HASHCODE;169EB344F8D1FEE06A3BF14FDD1B100E4D850EBD9F64C01D70F7F4E1E4B04B95
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;13/03/2021;05:30:59;GMT+00:00
END OF MEASUREMENT;13/03/2021;05:31:38;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   56230;[mS]
TIME GPS SPEED WENT OVER 2KPH;     200;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   53810;[mS]
PEAK GPS SPEED; 58,21;[kph]
TIME OF PEAK GPS SPEED;   23420;[mS]
PEAK SPEED; 58,65;[kph]
TIME OF PEAK SPEED;   23030;[mS]
TIME ACC WENT OVER 1m/s/s;    2950;[mS]
PEAK ACC;  4,32;[m/s/s]
TIME OF PEAK ACC;   19630;[mS]
PEAK PITCH;   2,90;[deg]
TIME OF PEAK PITCH;   13680;[mS]
PEAK SLIP; 175,89;[deg]
TIME OF PEAK SLIP;   19020;[mS]
AVERAGE LONG ACCEL AT START;  0,89;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,17;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,77;[m/s/s]
AVERAGE PITCH RATE AT START;   0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,36;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,75;[m/s/s]
AVERAGE PITCH RATE AT END;   0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;GPS STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,5;0,35;0,05;9,89;1,22;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,03;0,72;0,52;1,31;0,99;0,60;41,43
10;12,5;0,42;-0,06;9,64;-0,07;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,54;0,31;0,54;0,25;0,92;0,60;41,44
20;12,5;1,17;-0,30;10,00;1,70;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,54;0,03;0,54;0,32;0,86;0,60;41,45
30;12,5;0,43;-0,16;10,06;1,76;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,54;0,60;0,55;1,07;0,88;0,60;41,49
40;12,5;1,32;-0,01;10,05;0,37;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,55;0,68;0,57;0,33;0,82;0,60;41,50
50;12,5;0,29;-0,09;9,48;1,21;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,55;0,55;0,57;1,22;0,86;0,60;41,55
60;12,5;1,48;-0,19;9,51;1,06;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,56;0,55;0,59;0,18;0,79;0,60;41,55
70;12,5;0,12;-0,07;9,73;0,10;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,56;0,63;0,60;1,26;0,84;0,60;41,60
80;12,5;1,87;-0,15;9,92;1,54;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,57;0,60;0,60;-0,10;0,75;0,60;41,59
90;12,5;0,24;-0,18;9,70;-1,05;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,57;0,63;0,61;1,64;0,84;0,60;41,65
100;12,5;2,03;-0,03;9,69;1,69;40,07;0;0;0;93,7;5,4351110;52,5271606;257,07;-39,54;2,50;1;6;0,9;2,3;0,58;0,68;0,60;0,01;0,76;0,60;41,65
