FILE NAME;001_22306_260522_134158.CSV
HASHCODE;EDB78932A7EDEEE17C161A8DEE21764088032314D014E72011E2FDE0F2E2A263
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;13:41:58;GMT+00:00
END OF MEASUREMENT;26/05/2022;13:43:04;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   65810;[mS]
TIME GPS SPEED WENT OVER 2KPH;   10220;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   62230;[mS]
PEAK GPS SPEED; 12,31;[kph]
TIME OF PEAK GPS SPEED;   41810;[mS]
PEAK SPEED; 13,20;[kph]
TIME OF PEAK SPEED;   51200;[mS]
TIME ACC WENT OVER 1m/s/s;   18760;[mS]
PEAK ACC;  2,64;[m/s/s]
TIME OF PEAK ACC;   37710;[mS]
PEAK PITCH;   2,83;[deg]
TIME OF PEAK PITCH;   37840;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  0,20;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,30;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,29;[deg/s]
AVERAGE LONG ACCEL AT END;  0,07;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,46;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,27;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;0,49;0,34;9,71;0,31;0,14;0;0;0;0,8;4,4933834;51,9431801;2,20;-1,14;-1,71;3;6;0,7;9,0;0,00;39,72;1,15;-0,14;-0,01;0,00;0,08
10;12,3;0,06;0,30;9,84;-0,20;0,14;0;0;0;0,8;4,4933829;51,9431801;2,17;-1,14;-1,71;3;6;0,7;9,0;1,15;2,01;1,15;0,29;0,02;0,00;0,09
20;12,3;0,32;0,31;9,85;0,53;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,14;1,87;1,14;-0,14;0,00;0,00;0,09
30;12,3;0,27;0,25;9,84;0,55;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,14;1,86;1,14;0,13;0,01;0,00;0,09
40;12,3;0,07;0,29;9,73;0,43;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,14;1,75;1,15;0,07;0,02;0,00;0,10
50;12,3;0,07;0,30;9,88;-0,05;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,15;1,74;1,15;-0,12;0,00;0,00;0,09
60;12,3;0,48;0,30;9,80;0,55;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,14;1,74;1,14;-0,12;-0,01;0,00;0,09
70;12,3;0,32;0,35;9,71;0,56;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,14;1,74;1,15;0,28;0,02;0,00;0,10
80;12,3;0,03;0,33;9,70;0,26;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,15;1,78;1,15;0,13;0,03;0,00;0,10
90;12,3;0,07;0,30;9,90;-0,14;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,15;1,80;1,15;-0,17;0,01;0,00;0,10
100;12,3;0,44;0,30;9,83;0,78;0,07;0;0;0;341,0;4,4933829;51,9431801;2,17;-1,14;-1,67;3;6;0,7;9,0;1,15;1,80;1,14;-0,12;-0,00;0,00;0,09
