FILE NAME;002_22306_260522_134333.CSV
HASHCODE;9D5B0F2392450B78BD699D691B3858E7FC30D21C9975819AA162CBAA8E8BAEC6
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;13:43:33;GMT+00:00
END OF MEASUREMENT;26/05/2022;13:43:04;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;LOW SUPPLY VOLTAGE;LOW INTERNAL VOLTAGE TEST ABORTED
UNIT SERIAL;22306
TOTAL TIME;       0;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;    2750;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;      20;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,00;[m/s/s]
TIME OF PEAK ACC;     990;[mS]
PEAK PITCH;   0,00;[deg]
TIME OF PEAK PITCH;    2080;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  1,22;[m/s/s]
AVERAGE LAT ACCEL AT START;  3,02;[m/s/s]
AVERAGE VERT ACCEL AT START;100,22;[m/s/s]
AVERAGE PITCH RATE AT START;  32,65;[deg/s]
AVERAGE LONG ACCEL AT END;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,00;[m/s/s]
AVERAGE VERT ACCEL AT END;  0,00;[m/s/s]
AVERAGE PITCH RATE AT END;   0,00;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;0,29;0,31;9,98;0,34;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;1,13;1,75;0,50;-0,16;0,05;0,00;1,45
10;12,3;-0,02;0,29;9,69;-0,36;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,50;1,84;0,50;0,21;0,06;0,00;1,46
20;12,3;0,25;0,33;10,03;0,69;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,50;1,75;0,50;-0,11;0,05;0,00;1,45
30;12,3;-0,08;0,26;10,06;0,45;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,50;1,82;0,51;0,16;0,06;0,00;1,45
40;12,3;0,05;0,25;9,71;-0,25;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,74;0,51;-0,17;0,04;0,00;1,44
50;12,3;0,22;0,31;9,88;0,55;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,68;0,51;-0,04;0,03;0,00;1,44
60;12,3;0,04;0,24;9,98;-0,13;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,71;0,51;0,13;0,04;0,00;1,44
70;12,3;0,07;0,24;9,77;0,29;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,66;0,51;-0,05;0,03;0,00;1,44
80;12,3;0,26;0,35;9,95;1,06;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,63;0,51;-0,01;0,02;0,00;1,43
90;12,3;-0,02;0,33;10,07;0,38;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,68;0,52;0,17;0,04;0,00;1,43
100;12,3;-0,04;0,26;9,69;0,07;0,11;0;0;0;209,2;4,4934421;51,9431496;6,24;-4,56;1,44;1;6;0,8;9,2;0,51;1,70;0,53;-0,11;0,02;0,00;1,43
