FILE NAME;003_22306_260522_170902.CSV
HASHCODE;22D996AE1326932D9602723E5691E1FEE7C17304C1AFCE756D2C444D4554C365
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;17:09:02;GMT+00:00
END OF MEASUREMENT;42404/7378/6687;32680:15581:60668;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;LOW SUPPLY VOLTAGE;LOW INTERNAL VOLTAGE TEST ABORTED;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;       0;[mS]
TIME GPS SPEED WENT OVER 2KPH;  110210;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  146210;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;  117000;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;  135260;[mS]
TIME ACC WENT OVER 1m/s/s;   23240;[mS]
PEAK ACC;  0,00;[m/s/s]
TIME OF PEAK ACC;   79800;[mS]
PEAK PITCH;   0,00;[deg]
TIME OF PEAK PITCH;  137420;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -0,96;[m/s/s]
AVERAGE LAT ACCEL AT START; -1,54;[m/s/s]
AVERAGE VERT ACCEL AT START; 99,78;[m/s/s]
AVERAGE PITCH RATE AT START;   1,29;[deg/s]
AVERAGE LONG ACCEL AT END;  0,00;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,00;[m/s/s]
AVERAGE VERT ACCEL AT END;  0,00;[m/s/s]
AVERAGE PITCH RATE AT END;   0,00;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,09;-0,15;9,79;0,07;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,00;1,55;-0,05;-0,09;-0,08;0,00;0,02
10;12,3;-0,10;-0,15;9,79;-0,14;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,05;0,88;-0,05;-0,08;-0,08;0,00;0,01
20;12,3;-0,11;-0,15;9,78;0,05;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,05;0,88;-0,06;-0,09;-0,08;0,00;0,01
30;12,3;-0,08;-0,15;9,78;-0,02;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,88;-0,06;-0,10;-0,08;0,00;0,01
40;12,3;-0,10;-0,15;9,78;0,05;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,88;-0,06;-0,07;-0,08;0,00;0,01
50;12,3;-0,10;-0,16;9,79;-0,00;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,88;-0,06;-0,09;-0,08;0,00;0,01
60;12,3;-0,10;-0,16;9,79;0,33;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,89;-0,06;-0,09;-0,08;0,00;0,01
70;12,3;-0,09;-0,16;9,78;0,18;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,90;-0,05;-0,09;-0,08;0,00;0,01
80;12,3;-0,09;-0,16;9,78;-0,02;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,90;-0,05;-0,08;-0,08;0,00;0,01
90;12,3;-0,10;-0,16;9,78;-0,03;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,90;-0,05;-0,08;-0,08;0,00;0,01
100;12,3;-0,11;-0,16;9,78;0,18;0,04;0;0;0;140,4;4,4935813;51,9426575;0,00;0,00;0,02;3;5;1,4;12,5;0,06;0,91;-0,06;-0,09;-0,08;0,00;0,01
