FILE NAME;004_22306_260522_172211.CSV
HASHCODE;F3E444E3A8F4CAA8BDFFCB82A2822D274D1963DF6EFA64C80DC97AADB626D14D
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;17:22:11;GMT+00:00
END OF MEASUREMENT;26/05/2022;17:22:37;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   25200;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7210;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 76,50;[kph]
TIME OF PEAK GPS SPEED;   17570;[mS]
PEAK SPEED; 77,08;[kph]
TIME OF PEAK SPEED;   17380;[mS]
TIME ACC WENT OVER 1m/s/s;   16510;[mS]
PEAK ACC;  5,45;[m/s/s]
TIME OF PEAK ACC;   18840;[mS]
PEAK PITCH;   2,51;[deg]
TIME OF PEAK PITCH;   20130;[mS]
PEAK SLIP; 162,72;[deg]
TIME OF PEAK SLIP;   12420;[mS]
AVERAGE LONG ACCEL AT START; -0,26;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,43;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,78;[m/s/s]
AVERAGE PITCH RATE AT START;   0,31;[deg/s]
AVERAGE LONG ACCEL AT END; -1,95;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,33;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,20;-0,41;9,83;0,52;0,07;0;0;0;218,2;4,4891391;51,9421921;-298,83;-114,43;-3,50;3;9;0,5;1,4;0,01;0,56;-1,47;0,04;-0,04;0,00;0,08
10;12,3;-0,27;-0,44;9,91;0,26;0,07;0;0;0;218,2;4,4891391;51,9421921;-298,83;-114,43;-3,50;3;9;0,5;1,4;1,47;2,41;-1,47;0,05;-0,03;0,00;0,09
20;12,3;-0,34;-0,48;9,81;0,56;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,49;-1,47;-0,02;-0,03;0,00;0,09
30;12,3;-0,31;-0,51;9,77;-0,14;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,60;-1,47;-0,09;-0,03;0,00;0,08
40;12,3;-0,14;-0,43;9,81;0,65;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,69;-1,47;-0,06;-0,04;0,00;0,08
50;12,3;-0,22;-0,37;9,68;0,25;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,66;-1,47;0,11;-0,02;0,00;0,09
60;12,3;-0,18;-0,36;9,68;0,21;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,58;-1,47;0,03;-0,02;0,00;0,09
70;12,3;-0,31;-0,42;9,71;-0,17;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,51;-1,47;0,07;-0,01;0,00;0,09
80;12,3;-0,18;-0,41;9,83;0,41;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,51;-1,47;-0,06;-0,01;0,00;0,09
90;12,3;-0,26;-0,48;9,83;0,19;0,04;0;0;0;250,7;4,4891391;51,9421921;-298,83;-114,43;-3,48;3;9;0,5;1,4;1,47;2,50;-1,47;0,07;-0,00;0,00;0,09
