FILE NAME;005_22306_260522_172437.CSV
HASHCODE;3FD2F650FEB1388F43D1F93985435037BADEBD423162110315840E69350E61C9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;17:24:37;GMT+00:00
END OF MEASUREMENT;26/05/2022;17:25:11;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   34600;[mS]
TIME GPS SPEED WENT OVER 2KPH;   17670;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      60;[mS]
PEAK GPS SPEED; 67,43;[kph]
TIME OF PEAK GPS SPEED;   26260;[mS]
PEAK SPEED; 67,81;[kph]
TIME OF PEAK SPEED;   26020;[mS]
TIME ACC WENT OVER 1m/s/s;     200;[mS]
PEAK ACC;  5,08;[m/s/s]
TIME OF PEAK ACC;   28790;[mS]
PEAK PITCH;   2,36;[deg]
TIME OF PEAK PITCH;   28750;[mS]
PEAK SLIP; 170,34;[deg]
TIME OF PEAK SLIP;   19470;[mS]
AVERAGE LONG ACCEL AT START; -0,60;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,15;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,78;[m/s/s]
AVERAGE PITCH RATE AT START;   0,44;[deg/s]
AVERAGE LONG ACCEL AT END; -1,98;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,31;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,19;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,47;-0,24;9,70;1,14;1,58;0;0;0;85,3;4,4886923;51,9420815;-329,47;-126,98;-8,51;1;7;2,2;2,2;1,46;2,52;-1,57;-0,38;-0,25;0,00;1,89
10;12,3;-0,46;-0,12;9,87;0,84;1,58;0;0;0;85,3;4,4886923;51,9420815;-329,47;-126,98;-8,51;1;7;2,2;2,2;1,56;1,39;-1,56;-0,21;-0,25;0,00;1,88
20;12,3;-0,83;-0,07;9,90;0,18;1,58;0;0;0;85,3;4,4886923;51,9420815;-329,47;-126,98;-8,51;1;7;2,2;2,2;1,56;1,05;-1,56;-0,20;-0,24;0,00;1,87
30;12,3;-0,83;-0,22;9,67;0,24;1,58;0;0;0;85,3;4,4886923;51,9420815;-329,47;-126,98;-8,51;1;7;2,2;2,2;1,56;0,84;-1,56;-0,56;-0,28;0,00;1,85
40;12,3;-0,49;-0,11;9,72;0,77;1,58;0;0;0;85,3;4,4886923;51,9420815;-329,47;-126,98;-8,51;1;7;2,2;2,2;1,56;0,95;-1,56;-0,56;-0,30;0,00;1,83
50;12,3;-0,69;-0,09;9,81;0,80;1,58;0;0;0;85,3;4,4886942;51,9420815;-329,38;-126,98;-8,51;1;7;2,2;2,2;1,56;0,89;-1,56;-0,23;-0,30;0,00;1,82
60;12,3;-0,78;-0,17;9,71;0,27;1,80;0;0;0;88,9;4,4886942;51,9420815;-329,38;-126,98;-8,54;1;7;2,1;2,2;1,56;0,83;-1,55;-0,43;-0,31;0,00;1,80
70;12,3;-0,48;-0,02;9,73;0,65;1,80;0;0;0;88,9;4,4886942;51,9420815;-329,38;-126,98;-8,54;1;7;2,1;2,2;1,56;0,85;-1,55;-0,51;-0,33;0,00;1,78
80;12,3;-0,77;-0,09;9,71;0,53;1,80;0;0;0;88,9;4,4886942;51,9420815;-329,38;-126,98;-8,54;1;7;2,1;2,2;1,55;0,77;-1,55;-0,22;-0,32;0,00;1,77
90;12,3;-0,75;-0,17;9,61;0,06;1,80;0;0;0;88,9;4,4886942;51,9420815;-329,38;-126,98;-8,54;1;7;2,1;2,2;1,55;0,74;-1,54;-0,51;-0,34;0,00;1,75
