FILE NAME;006_22306_260522_172701.CSV
HASHCODE;F775B3B0CD13E7518821C5FE7DF1C35D6D29016EB11844111BBAAB2BFD1831D9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;17:27:01;GMT+00:00
END OF MEASUREMENT;26/05/2022;17:27:26;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   24840;[mS]
TIME GPS SPEED WENT OVER 2KPH;      30;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 90,83;[kph]
TIME OF PEAK GPS SPEED;   14030;[mS]
PEAK SPEED; 91,36;[kph]
TIME OF PEAK SPEED;   13700;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC;  5,33;[m/s/s]
TIME OF PEAK ACC;   15870;[mS]
PEAK PITCH;   3,04;[deg]
TIME OF PEAK PITCH;    5650;[mS]
PEAK SLIP; 171,63;[deg]
TIME OF PEAK SLIP;   21250;[mS]
AVERAGE LONG ACCEL AT START; -0,95;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,24;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END; -2,06;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,21;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;   0,30;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,92;0,24;9,82;0,65;11,48;0;0;0;54,5;4,4886227;51,9420738;-334,24;-127,74;-7,43;1;5;4,1;2,2;1,26;0,87;-1,33;-0,88;-0,90;0,00;10,25
10;12,3;-0,94;-0,03;9,84;0,79;11,48;0;0;0;54,5;4,4886227;51,9420738;-334,24;-127,74;-7,43;1;5;4,1;2,2;1,32;1,39;-1,32;-0,70;-0,88;0,00;10,22
20;12,3;-1,32;-0,26;9,69;0,46;11,48;0;0;0;54,5;4,4886227;51,9420738;-334,24;-127,74;-7,43;1;5;4,1;2,2;1,32;0,59;-1,32;-0,72;-0,87;0,00;10,19
30;12,3;-1,12;-0,03;9,81;0,51;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,32;0,11;-1,31;-1,09;-0,89;0,00;10,14
40;12,3;-1,05;0,05;9,69;0,63;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,32;0,13;-1,31;-0,90;-0,89;0,00;10,10
50;12,3;-0,98;0,05;9,84;0,63;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,31;0,04;-1,31;-0,82;-0,88;0,00;10,07
60;12,3;-0,87;-0,10;9,85;0,49;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,31;0,02;-1,30;-0,76;-0,87;0,00;10,03
70;12,3;-1,26;-0,13;9,86;0,46;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,31;0,07;-1,29;-0,65;-0,85;0,00;10,00
80;12,3;-1,34;0,05;9,72;0,84;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,31;0,16;-1,29;-1,04;-0,87;0,00;9,96
90;12,3;-1,21;-0,01;9,90;0,80;10,80;0;0;0;55,7;4,4886303;51,9420776;-333,74;-127,36;-7,53;1;5;4,2;2,3;1,30;0,11;-1,28;-1,13;-0,89;0,00;9,91
