FILE NAME;007_22306_260522_172834.CSV
HASHCODE;C2D3CD21CE8F3D6CE7C2B588E4F23B3CEF676AB4F8FA55ABBA29839BDBE33644
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;26/05/2022;17:28:34;GMT+00:00
END OF MEASUREMENT;26/05/2022;17:28:53;GMT+00:00
STANDARD CONFIG;STANDARD CONFIGS USED
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   18820;[mS]
TIME GPS SPEED WENT OVER 2KPH;     170;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 90,32;[kph]
TIME OF PEAK GPS SPEED;   11380;[mS]
PEAK SPEED; 91,05;[kph]
TIME OF PEAK SPEED;   11250;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC;  5,31;[m/s/s]
TIME OF PEAK ACC;   14020;[mS]
PEAK PITCH;   3,60;[deg]
TIME OF PEAK PITCH;     960;[mS]
PEAK SLIP; 169,67;[deg]
TIME OF PEAK SLIP;     780;[mS]
AVERAGE LONG ACCEL AT START;  0,12;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -1,43;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,91;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,59;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-1,15;0,18;10,03;-4,93;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;1,01;1,45;-3,13;-0,68;0,10;163,59;22,16
10;12,3;-1,15;0,21;9,73;-4,63;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,18;1,05;-3,18;-0,61;0,03;163,59;22,13
20;12,3;-1,08;0,27;9,90;-3,85;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,21;1,13;-3,23;-0,60;-0,03;163,59;22,10
30;12,3;-1,16;0,28;9,82;-3,33;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,23;1,27;-3,27;-0,52;-0,08;163,59;22,07
40;12,3;-0,95;0,39;9,62;-2,59;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,25;1,36;-3,31;-0,60;-0,13;163,59;22,04
50;12,3;-1,07;0,48;10,03;-2,23;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,27;1,54;-3,34;-0,38;-0,16;163,59;22,02
60;12,3;-1,35;0,49;9,87;-1,86;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,28;1,75;-3,36;-0,49;-0,19;163,59;21,99
70;12,3;-1,12;0,55;9,58;-1,60;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,30;1,91;-3,39;-0,78;-0,25;163,59;21,96
80;12,3;-1,13;0,66;9,77;-1,26;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,31;2,07;-3,39;-0,55;-0,28;163,59;21,93
90;12,3;-0,93;0,54;9,50;-0,91;20,63;0;0;0;69,8;4,4887047;51,9421005;-328,62;-124,69;-6,70;1;5;3,9;2,9;3,32;2,27;-3,39;-0,56;-0,31;163,59;21,90
