FILE NAME;001_22306_010622_113918.CSV
HASHCODE;C18FC77A2550C5EFB323E10476F99F04F8EE1F11458E6B5536682E3AEF04D516
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;01/06/2022;11:39:18;GMT+00:00
END OF MEASUREMENT;01/06/2022;11:39:29;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   10620;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,25;[kph]
TIME OF PEAK GPS SPEED;      20;[mS]
PEAK SPEED;  0,32;[kph]
TIME OF PEAK SPEED;      20;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  0,56;[m/s/s]
TIME OF PEAK ACC;   10530;[mS]
PEAK PITCH;   2,21;[deg]
TIME OF PEAK PITCH;    5760;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -0,37;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,62;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,76;[m/s/s]
AVERAGE PITCH RATE AT START;   0,25;[deg/s]
AVERAGE LONG ACCEL AT END; -0,36;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,62;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;   0,26;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,8;-0,29;-0,58;9,84;0,29;0,22;0;0;0;124,9;4,4892111;51,9421768;16,58;10,64;16,24;1;6;0,9;2,4;0,00;2,17;-2,18;-0,01;0,02;0,00;0,31
10;12,8;-0,33;-0,64;9,70;0,38;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,37;-2,18;0,08;0,02;0,00;0,31
20;12,8;-0,38;-0,61;9,80;0,38;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,57;-2,19;0,04;0,02;0,00;0,32
30;12,8;-0,38;-0,61;9,68;0,36;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,56;-2,18;-0,00;0,02;0,00;0,31
40;12,8;-0,37;-0,66;9,84;0,40;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,56;-2,18;-0,00;0,02;0,00;0,31
50;12,9;-0,42;-0,57;9,79;0,60;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,62;-2,18;0,01;0,02;0,00;0,31
60;12,9;-0,32;-0,69;9,76;0,44;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,57;-2,17;-0,05;0,01;0,00;0,31
70;12,9;-0,48;-0,60;9,68;0,27;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,64;-2,17;0,05;0,02;0,00;0,31
80;12,9;-0,40;-0,62;9,80;0,17;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,62;-2,17;-0,11;0,00;0,00;0,31
90;12,9;-0,42;-0,64;9,71;0,44;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,62;-2,17;-0,02;-0,00;0,00;0,31
100;12,9;-0,34;-0,59;9,84;0,83;0,25;0;0;0;129,4;4,4892106;51,9421768;16,55;10,64;16,22;1;6;0,9;2,4;2,18;3,64;-2,17;-0,05;-0,01;0,00;0,30
