FILE NAME;002_22306_010622_113942.CSV
HASHCODE;097B34981C06129DB91D71640D3B60ADC270ACF7FC87F8EC494657DB50804419
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;01/06/2022;11:39:42;GMT+00:00
END OF MEASUREMENT;01/06/2022;11:40:10;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   27870;[mS]
TIME GPS SPEED WENT OVER 2KPH;   10480;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 92,74;[kph]
TIME OF PEAK GPS SPEED;   18070;[mS]
PEAK SPEED; 92,89;[kph]
TIME OF PEAK SPEED;   17790;[mS]
TIME ACC WENT OVER 1m/s/s;   17190;[mS]
PEAK ACC; 10,04;[m/s/s]
TIME OF PEAK ACC;   19690;[mS]
PEAK PITCH;   3,28;[deg]
TIME OF PEAK PITCH;   20330;[mS]
PEAK SLIP;  15,74;[deg]
TIME OF PEAK SLIP;   11470;[mS]
AVERAGE LONG ACCEL AT START; -0,36;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,62;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,76;[m/s/s]
AVERAGE PITCH RATE AT START;   0,27;[deg/s]
AVERAGE LONG ACCEL AT END; -1,81;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,08;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;   0,36;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,8;-0,43;-0,62;9,70;0,12;0,14;0;0;0;131,3;4,4892187;51,9421844;17,14;11,40;18,15;3;6;0,7;2,3;2,15;3,64;-2,00;0,07;-0,02;0,00;0,12
10;12,9;-0,37;-0,59;9,85;0,11;0,14;0;0;0;131,3;4,4892187;51,9421844;17,14;11,40;18,15;3;6;0,7;2,3;2,01;3,60;-2,01;-0,09;-0,03;0,00;0,12
20;12,9;-0,39;-0,62;9,67;0,10;0,14;0;0;0;131,3;4,4892187;51,9421844;17,14;11,40;18,15;3;6;0,7;2,3;2,01;3,51;-2,01;-0,02;-0,03;0,00;0,12
30;12,9;-0,37;-0,70;9,77;0,28;0,14;0;0;0;131,3;4,4892187;51,9421844;17,14;11,40;18,15;3;6;0,7;2,3;2,01;3,56;-2,01;-0,04;-0,03;0,00;0,12
40;12,9;-0,38;-0,55;9,83;0,54;0,14;0;0;0;131,3;4,4892187;51,9421844;17,14;11,40;18,15;3;6;0,7;2,3;2,01;3,70;-2,01;-0,02;-0,03;0,00;0,12
50;12,9;-0,26;-0,68;9,78;0,26;0,14;0;0;0;131,3;4,4892187;51,9421844;17,14;11,40;18,15;3;6;0,7;2,3;2,01;3,60;-2,01;-0,03;-0,03;0,00;0,12
60;12,9;-0,43;-0,57;9,71;0,35;0,14;0;0;0;131,3;4,4892187;51,9421806;17,14;11,02;18,15;3;6;0,7;2,3;2,01;3,67;-2,01;0,08;-0,02;0,00;0,13
70;12,9;-0,36;-0,54;9,87;0,07;0,14;0;0;0;131,3;4,4892187;51,9421806;17,14;11,02;18,15;3;6;0,7;2,3;2,01;3,62;-2,01;-0,09;-0,02;0,00;0,12
80;12,8;-0,33;-0,65;9,69;0,29;0,14;0;0;0;131,3;4,4892187;51,9421806;17,14;11,02;18,15;3;6;0,7;2,3;2,01;3,56;-2,01;-0,01;-0,02;0,00;0,12
90;12,8;-0,33;-0,57;9,76;0,18;0,14;0;0;0;131,3;4,4892187;51,9421806;17,14;11,02;18,15;3;6;0,7;2,3;2,01;3,59;-2,01;0,01;-0,02;0,00;0,13
100;12,8;-0,35;-0,63;9,67;0,25;0,14;0;0;0;131,3;4,4892187;51,9421806;17,14;11,02;18,15;3;6;0,7;2,3;2,01;3,56;-2,01;0,02;-0,02;0,00;0,13
