FILE NAME;003_22306_010622_114136.CSV
HASHCODE;5E10CFBC2ABAF3A3C8EADC0A72D5A51061A4DD5A115EF118A422A1BA536BF831
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;01/06/2022;11:41:36;GMT+00:00
END OF MEASUREMENT;01/06/2022;11:42:31;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   54370;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4620;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   36830;[mS]
PEAK GPS SPEED;111,20;[kph]
TIME OF PEAK GPS SPEED;   17630;[mS]
PEAK SPEED;111,66;[kph]
TIME OF PEAK SPEED;   17540;[mS]
TIME ACC WENT OVER 1m/s/s;   17430;[mS]
PEAK ACC; 10,64;[m/s/s]
TIME OF PEAK ACC;   18920;[mS]
PEAK PITCH;  12,02;[deg]
TIME OF PEAK PITCH;   37670;[mS]
PEAK SLIP; 178,90;[deg]
TIME OF PEAK SLIP;   45840;[mS]
AVERAGE LONG ACCEL AT START; -0,21;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,22;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,27;[deg/s]
AVERAGE LONG ACCEL AT END; -1,01;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,22;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,77;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,9;-0,21;-0,24;9,74;0,19;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;2,02;3,62;-1,49;0,09;0,04;0,00;0,80
10;12,9;-0,25;-0,15;9,88;0,19;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,48;1,39;-1,48;0,04;0,04;0,00;0,79
20;12,8;-0,14;-0,24;9,83;0,27;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,47;1,13;-1,47;-0,00;0,04;0,00;0,79
30;12,8;-0,24;-0,22;9,70;0,12;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,47;1,22;-1,46;0,11;0,05;0,00;0,78
40;12,8;-0,27;-0,20;9,90;0,39;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,47;1,23;-1,45;0,01;0,04;0,00;0,78
50;12,9;-0,17;-0,21;9,72;0,19;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,46;1,22;-1,44;-0,02;0,04;0,00;0,77
60;12,8;-0,19;-0,20;9,86;0,47;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,46;1,22;-1,44;0,08;0,04;0,00;0,76
70;12,9;-0,22;-0,22;9,70;0,25;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,45;1,21;-1,43;0,05;0,04;0,00;0,76
80;12,9;-0,18;-0,26;9,73;0,43;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,45;1,22;-1,42;0,02;0,04;0,00;0,75
90;12,9;-0,24;-0,18;9,84;0,53;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,44;1,25;-1,41;0,06;0,04;0,00;0,75
100;12,9;-0,11;-0,27;9,75;0,62;0,36;0;0;0;350,9;4,4884439;51,9419594;-36,06;-13,69;0,96;1;5;1,9;2,3;1,44;1,23;-1,40;-0,00;0,04;0,00;0,74
